Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
gDNA-Breast-GC1002316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.012,3.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.708,7.965,13.220,46.856,6.672,0.000,0.000,0.000,0.000,0.000,0.000,2.039,0.388,0.000,0.130,0.000,1.247,15.316
gDNA-Breast-GC1003962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.746,5.901,11.372,14.562,42.220,0.000,6.504,0.000,0.000,0.000,0.000,1.592,0.000,3.385,0.000,0.000,8.716,0.000
gDNA-Breast-GC1003963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.415,0.000,19.993,10.758,43.474,6.285,2.104,1.062,0.000,2.773,0.000,0.000,0.539,1.951,0.000,0.000,1.642,0.000
gDNA-Breast-GC1003965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.285,1.525,62.287,14.873,6.610,0.397,0.000,1.187,0.000,0.000,0.000,0.000,0.437,0.000,0.000,0.000,0.000,8.398
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.625,0.334,22.114,9.336,25.422,0.973,3.295,0.617,0.000,0.932,0.000,0.000,0.000,2.014,0.020,0.000,2.317,0.000
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,4.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,7.580,2.553,0.238,0.000,0.000,5.483,0.000,7.192,0.000,4.300,1.128,4.455,7.077,0.000,2.441,7.964,11.244,17.039,10.057
gDNA-Cervical-GC112878,0.000,0.000,8.149,0.018,0.468,0.000,0.000,0.000,1.522,0.000,0.000,0.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.338,0.000,2.045,0.000,5.365,0.000,1.902,4.984,4.855,1.102,0.330,18.835,1.897,10.306,0.000,0.000,29.182
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.000,0.000,3.722,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.566,0.000,0.000,0.000,0.000,0.000,0.000,5.325,0.000,0.000,0.000,6.625,0.000,0.000,5.089,0.000,10.775,1.404,2.924,0.672,4.422,10.798,2.289,5.134,11.712,0.000,19.397,6.144
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,0.000,6.723,0.774,1.397,0.000,0.000,0.000,0.000,9.596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.447,0.000,5.792,13.872,0.000,0.000,3.326,1.834,5.572,0.000,2.991,0.533,9.137,0.616,3.369,4.994,3.020,0.824,18.180,0.000
gDNA-Cervical-GC112882,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.675,0.000,0.000,0.000,0.000,0.000,0.000,3.713,0.000,0.000,0.000,7.461,0.000,0.097,0.000,0.000,1.040,0.000,4.046,0.000,0.000,4.367,2.455,0.000,31.188,0.000,5.164,37.791
gDNA-Cervical-GC112883,0.000,2.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.851,0.000,2.059,0.000,0.000,0.036,0.000,1.910,2.176,0.000,48.934,0.000,0.000,1.061,0.000,0.912,37.814
gDNA-Colorectal-GC112876,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.000,0.000,1.582,6.386,63.584,0.000,0.269,1.146,0.000,0.000,0.013,2.205,2.071,22.699
gDNA-Colorectal-GC119345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990,0.000,0.000,0.000,3.060,22.634,41.719,12.531,1.933,5.012,0.000,0.000,0.000,3.091,0.000,0.000,9.026,0.000
gDNA-Colorectal-GC119346,0.000,3.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.520,1.457,0.000,1.742,35.478,11.868,20.693,0.603,0.412,0.000,3.752,1.226,0.943,0.000,0.000,3.422,13.654
gDNA-Colorectal-GC119347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.456,0.000,0.000,0.000,2.849,0.111,15.867,46.768,20.371,0.000,0.000,1.454,0.000,1.613,0.575,8.258,1.675,0.000
gDNA-Colorectal-GC119348,0.000,0.000,5.570,4.057,0.443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.189,0.000,0.000,0.000,0.000,0.000,0.000,0.320,29.953,25.551,4.106,1.678,0.309,0.000,0.000,0.000,1.551,0.882,2.995,0.847,19.546
gDNA-Colorectal-GC119349,14.290,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.672,0.000,0.000,3.862,2.395,0.000,0.000,1.467,24.853,8.026,5.584,1.361,11.895,0.000,2.791,0.342,5.769,0.000,0.000,6.082,0.000
gDNA-Ovarian-GC112879,0.000,3.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.379,0.000,7.568,0.000,5.096,0.470,4.720,8.571,5.437,0.000,13.968,6.623,0.000,1.897,4.295,0.000,35.494
gDNA-Ovarian-GC119433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.524,7.843,0.000,0.000,0.000,28.267,9.918,3.982,0.000,24.532,8.239,0.345,0.000,7.745,1.001,0.000,5.601,0.000
gDNA-Ovarian-GC119434,0.000,0.000,0.424,0.085,0.000,0.000,0.000,0.000,0.000,0.921,0.000,4.380,1.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.202,0.000,0.000,0.818,2.426,0.000,0.000,2.311,20.342,7.496,0.000,0.000,12.858,0.000,3.834,0.225,3.754,1.109,0.000,4.899,20.172
gDNA-WBC-GC131344,0.000,0.000,28.071,20.863,4.518,21.116,0.000,4.284,0.974,0.000,0.132,0.000,3.405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.092,0.000,0.000,0.000,0.064,0.000,0.000,0.000,0.000,0.000,0.000,15.208
