Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
gDNA-Breast-GC1002316,68.546,0.047,2.201,0.601,12.032,0.030,0.153,0.857,3.438,1.335,10.386,0.222,0.153
gDNA-Breast-GC1003962,72.266,6.975,2.278,18.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,81.517,1.277,1.074,16.124,0.000,0.000,0.000,0.004,0.002,0.001,0.000,0.000,0.000
gDNA-Breast-GC1003965,83.919,0.001,3.532,0.113,2.428,4.760,0.203,0.047,0.006,3.980,0.116,0.849,0.047
gDNA-Breast-GC1003966,82.838,0.012,4.727,12.300,0.000,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,0.000,92.713,0.000,1.867,3.053,0.002,0.052,2.062,0.217,0.002,0.031,0.001,0.000
gDNA-Cervical-GC112878,5.269,0.000,40.077,0.013,17.367,14.978,0.454,0.000,0.007,0.524,1.823,3.696,15.792
gDNA-Cervical-GC112880,0.136,60.691,12.029,10.323,15.284,0.286,0.451,0.441,0.139,0.009,0.075,0.046,0.090
gDNA-Cervical-GC112881,0.000,99.997,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112882,1.023,1.006,41.498,0.000,16.098,8.641,5.870,9.242,2.056,2.211,4.382,7.155,0.817
gDNA-Cervical-GC112883,0.286,0.057,0.009,0.000,76.177,0.004,0.077,15.314,4.849,2.589,0.522,0.116,0.000
gDNA-Colorectal-GC112876,0.154,2.671,5.480,3.383,7.540,64.590,2.494,3.427,2.853,0.245,4.488,1.501,1.174
gDNA-Colorectal-GC119345,0.000,14.196,0.000,79.139,0.000,4.930,0.000,1.723,0.010,0.001,0.001,0.000,0.000
gDNA-Colorectal-GC119346,5.347,0.012,8.618,37.642,15.234,24.970,1.138,0.016,0.107,2.137,1.699,0.844,2.236
gDNA-Colorectal-GC119347,1.698,0.003,7.681,28.854,0.153,61.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119348,0.506,3.530,6.967,48.007,2.122,9.704,4.182,0.842,1.596,3.236,2.971,2.485,13.851
gDNA-Colorectal-GC119349,5.256,1.345,14.061,40.781,18.135,3.354,6.509,3.570,1.949,4.540,0.255,0.230,0.015
gDNA-Ovarian-GC112879,7.340,0.014,13.798,0.225,51.834,17.745,0.176,0.378,0.549,2.911,1.153,3.794,0.083
gDNA-Ovarian-GC119433,4.545,0.000,21.785,31.774,28.402,13.494,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC119434,4.557,4.365,12.421,31.395,22.699,0.063,12.115,1.124,1.185,0.361,4.227,3.505,1.984
gDNA-WBC-GC131344,1.128,0.013,1.801,0.160,3.261,2.413,3.843,0.141,0.564,1.401,1.190,6.950,77.135
gDNA-WBC-GC131345,2.011,0.106,3.306,2.340,4.675,3.011,7.806,0.577,1.319,2.937,5.427,9.467,57.019
gDNA-WBC-GC131346,0.758,0.011,2.282,1.498,3.109,2.075,7.933,0.111,5.721,5.933,3.575,7.307,59.686
gDNA-WBC-GC131347,0.030,0.398,0.399,1.107,0.031,0.044,5.437,21.523,4.273,3.260,8.038,2.443,53.016
gDNA-WBC-GC131348,0.041,2.189,0.361,2.518,0.003,0.000,4.149,9.955,3.112,0.331,5.427,6.313,65.602
gDNA-WBC-GC131349,0.151,0.504,2.016,1.691,0.735,1.203,7.354,5.096,2.305,5.569,6.283,10.859,56.235
gDNA-WBC-GC131350,0.767,0.072,2.096,1.582,2.345,1.346,4.430,0.854,3.337,2.818,6.315,6.704,67.336
gDNA-WBC-GC131351,0.584,0.317,1.432,2.267,2.492,0.600,5.984,0.849,3.565,2.267,6.441,6.375,66.827
gDNA-WBC-GC131352,0.615,0.066,1.038,1.831,0.997,0.117,6.400,17.532,4.344,3.410,7.857,5.869,49.925
gDNA-WBC-GC131353,0.336,0.462,2.164,2.839,3.821,1.659,8.488,0.361,4.587,3.191,7.958,7.345,56.788
gDNA-WBC-GC131354,0.923,0.123,3.241,1.079,3.517,2.756,9.340,0.199,7.151,7.604,6.299,9.289,48.478
gDNA-WBC-GC131355,1.652,0.000,3.389,0.358,4.941,4.011,6.774,0.166,0.967,4.943,3.705,9.942,59.151
