Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
gDNA-Breast-GC1002316,71.082,0.000,0.000,0.000,1.090,0.000,0.000,0.000,0.000,0.000,3.715,0.000,0.000,24.113
gDNA-Breast-GC1003962,83.892,0.000,4.655,11.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,88.656,0.000,1.984,9.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,82.347,0.000,0.000,0.000,0.000,0.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.701
gDNA-Breast-GC1003966,92.694,0.000,1.504,5.801,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,9.715,29.424,8.971,9.799,13.375,3.147,6.054,0.000,0.000,0.000,0.000,7.260,4.599,7.655
gDNA-Cervical-GC112878,5.057,0.000,28.030,2.674,6.788,7.892,0.000,0.000,0.000,0.000,0.649,0.000,11.586,37.324
gDNA-Cervical-GC112880,6.843,16.408,17.295,12.634,16.728,3.668,4.146,0.000,0.000,0.000,0.000,2.366,1.746,18.163
gDNA-Cervical-GC112881,14.392,20.856,12.867,8.458,10.868,4.418,7.269,0.000,0.000,0.000,0.000,11.493,9.379,0.000
gDNA-Cervical-GC112882,1.953,5.833,24.445,0.572,5.568,3.580,3.178,0.000,1.014,0.000,0.000,1.931,0.000,51.926
gDNA-Cervical-GC112883,2.458,0.044,0.993,0.000,42.257,1.562,0.000,0.000,0.000,0.872,0.000,0.000,0.000,51.813
gDNA-Colorectal-GC112876,0.000,4.478,0.000,1.140,1.431,63.649,0.000,0.000,0.000,0.000,1.255,0.000,0.000,28.045
gDNA-Colorectal-GC119345,4.216,14.596,2.943,62.708,0.000,15.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119346,3.285,3.544,2.146,39.234,3.888,22.093,0.000,0.000,0.000,2.639,0.000,0.000,0.000,23.170
gDNA-Colorectal-GC119347,4.414,8.043,2.560,20.339,0.000,64.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119348,0.023,2.997,2.632,49.176,0.000,6.938,1.777,0.000,0.000,0.000,0.000,0.000,10.587,25.870
gDNA-Colorectal-GC119349,6.539,8.820,6.299,29.379,11.503,7.590,9.379,0.000,0.000,12.195,0.000,1.872,0.000,6.424
gDNA-Ovarian-GC112879,7.557,2.148,7.787,2.465,17.079,13.783,0.000,0.000,0.000,1.683,0.000,0.000,0.000,47.498
gDNA-Ovarian-GC119433,6.328,11.427,10.791,35.454,30.112,4.921,0.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC119434,3.245,6.467,5.074,25.729,13.780,0.000,11.362,0.000,0.000,0.000,3.675,1.311,0.000,29.356
gDNA-WBC-GC131344,0.000,0.000,0.000,0.124,0.000,0.000,1.114,0.000,0.000,0.000,0.070,3.165,78.475,17.051
gDNA-WBC-GC131345,0.000,0.316,0.200,0.853,0.232,0.000,4.203,0.000,1.042,0.000,4.591,4.991,58.147,25.423
gDNA-WBC-GC131346,0.000,0.000,0.040,0.287,0.000,0.000,4.457,0.000,3.485,0.000,0.884,3.089,61.829,25.928
gDNA-WBC-GC131347,0.000,0.000,0.000,0.015,0.000,0.000,2.622,14.434,4.084,0.318,4.891,1.200,51.641,20.794
gDNA-WBC-GC131348,0.202,1.147,0.087,0.576,0.146,0.000,2.476,1.363,0.000,0.000,2.480,5.827,67.265,18.429
gDNA-WBC-GC131349,0.000,0.242,0.127,0.833,0.000,0.000,3.564,0.000,2.183,0.000,2.263,7.434,57.252,26.102
gDNA-WBC-GC131350,0.000,0.000,0.062,0.400,0.000,0.000,1.476,0.000,0.000,0.000,3.970,3.028,68.203,22.861
gDNA-WBC-GC131351,0.000,0.035,0.068,0.405,0.189,0.000,2.041,0.000,0.000,0.000,5.852,2.916,65.295,23.199
gDNA-WBC-GC131352,0.000,0.000,0.042,0.315,0.000,0.000,3.122,7.716,6.269,0.000,4.923,3.270,50.243,24.098
gDNA-WBC-GC131353,0.000,0.000,0.088,0.325,0.025,0.000,3.850,1.537,3.180,0.000,10.815,3.515,55.056,21.608
gDNA-WBC-GC131354,0.000,0.000,0.122,0.539,0.000,0.000,5.969,4.144,3.894,0.000,4.001,4.369,49.965,26.997
gDNA-WBC-GC131355,0.000,0.000,0.000,0.289,0.000,0.000,3.626,0.000,5.090,0.000,5.778,4.458,59.391,21.367
