Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
gDNA-Breast-GC1002316,0.019,0.004,0.017,0.003,0.003,0.003,0.006,0.001,0.011,2.207,2.697,1.450,0.005,0.008,0.002,0.003,0.005,0.010,0.002,0.000,0.002,0.006,0.017,0.019,0.012,0.489,8.872,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.055,0.000,0.000,0.000,0.000,84.033
gDNA-Breast-GC1003962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.028,0.000,0.000,0.000,35.464,0.000,18.477,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,42.708,0.003
gDNA-Breast-GC1003963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.005,8.943,73.440,0.000,0.974,0.000,0.000,0.000,0.000,0.000,2.588,14.020,0.008,0.000,0.018
gDNA-Breast-GC1003965,0.052,0.074,0.116,0.260,0.178,0.225,0.981,0.052,0.007,0.673,4.606,1.403,0.044,3.439,1.019,0.558,0.860,0.596,0.066,4.130,0.011,0.001,0.009,18.338,1.446,28.404,15.341,6.454,0.280,0.000,0.012,0.005,0.011,0.016,6.948,0.000,3.370,0.000,0.012,0.001
gDNA-Breast-GC1003966,0.184,0.059,0.001,0.001,0.006,0.022,0.009,0.015,0.011,0.077,0.052,0.053,0.017,0.012,0.016,0.165,0.086,0.400,0.018,0.000,0.001,0.001,0.000,11.499,0.046,16.053,0.297,47.213,3.753,2.841,0.000,0.000,10.287,0.001,0.004,0.003,6.712,0.023,0.000,0.062
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
gDNA-Cervical-GC112878,0.336,0.169,6.639,2.351,1.004,0.316,1.239,1.824,5.205,8.280,1.274,0.663,2.958,1.377,0.009,0.015,0.041,0.017,0.039,0.049,0.131,0.207,0.115,0.703,0.000,0.049,0.375,0.001,0.559,0.001,0.073,0.017,0.193,0.012,5.794,0.000,0.613,57.350,0.000,0.005
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.010,0.015,0.051,0.118,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.079,0.000,0.000,0.001,0.017,0.000,0.000,0.000,0.001,1.186,0.029,0.016,0.000,0.460,0.116,0.015,2.276,0.028,95.559,0.000
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.987,0.000,0.000,0.000,0.009
gDNA-Cervical-GC112882,0.018,0.623,0.202,0.498,0.428,0.090,0.643,0.161,0.014,1.749,0.624,0.115,1.595,5.765,0.779,0.548,0.043,1.752,1.353,8.494,0.721,0.416,1.001,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,4.852,0.000,0.315,8.688,0.000,0.000,58.505,0.000,0.002
gDNA-Cervical-GC112883,4.842,9.539,0.042,0.003,0.007,0.003,0.001,0.004,0.033,0.025,0.051,0.003,0.106,0.654,0.105,0.000,0.209,5.010,0.041,0.002,0.068,0.424,1.922,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.905,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC112876,0.665,8.768,0.821,0.014,0.022,0.020,0.008,0.005,0.015,1.244,0.549,3.004,0.296,0.073,0.017,0.411,0.251,0.084,0.037,0.013,5.023,0.440,1.206,0.214,0.260,0.163,2.592,0.000,0.144,2.794,0.922,56.423,1.742,0.043,11.670,0.042,0.000,0.000,0.000,0.003
gDNA-Colorectal-GC119345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,6.325,0.004,0.000,0.000,0.000,0.000,0.000,93.663,0.000,0.009,0.000
gDNA-Colorectal-GC119346,0.568,5.711,0.077,0.039,0.006,0.315,0.411,0.691,0.013,1.711,0.351,1.428,0.002,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.006,2.776,0.776,0.972,1.009,2.701,56.013,0.003,14.659,0.001,1.250,0.041,7.809,0.211,0.215,0.000,0.012,0.135
gDNA-Colorectal-GC119347,0.000,0.001,2.303,0.764,0.271,0.078,0.022,0.058,0.041,0.000,0.001,0.008,0.002,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.000,3.404,0.000,0.204,0.006,0.081,0.048,6.576,51.850,0.006,0.053,0.081,0.367,0.000,32.984,0.747,0.000,0.000
gDNA-Colorectal-GC119348,0.131,0.032,2.321,2.141,2.280,1.683,1.358,0.253,1.806,1.408,1.475,1.851,0.520,0.786,0.341,1.460,0.157,0.097,2.621,0.480,0.230,1.333,0.202,4.718,0.000,0.003,0.824,1.906,31.606,15.875,8.104,0.691,2.660,0.067,0.178,1.881,0.039,0.626,5.857,0.000
gDNA-Colorectal-GC119349,0.024,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.004,0.003,0.006,0.000,0.001,0.000,0.004,0.002,0.002,0.114,0.000,0.005,0.000,1.167,0.877,6.283,0.000,0.000,67.708,0.000,0.000,0.000,23.775,0.000,0.000,0.000
gDNA-Ovarian-GC112879,0.488,1.513,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.801,0.227,2.683,1.526,0.619,2.369,1.606,0.047,0.063,0.380,0.118,0.015,0.043,0.139,0.067,0.001,0.005,0.073,0.166,0.237,1.096,0.080,8.183,0.510,0.000,72.851,0.000,0.039,3.999,0.000,0.056
