Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
gDNA-Breast-GC1002316,2.937,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,10.069,1.260,2.649,0.000,0.000,0.000,0.000,0.000,3.430,0.000,0.000,0.000,0.000,2.502,0.000,7.750,17.541,25.337,6.616,0.000,0.791,0.000,0.000,0.000,0.907,0.000,0.000,0.000,0.000,3.718,0.000,14.488
gDNA-Breast-GC1003962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.928,0.000,0.000,0.000,43.850,0.000,12.537,1.689,0.000,0.000,11.662,7.946,0.000,5.383,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.749,0.000,0.000,18.818,64.630,0.000,7.287,0.000,0.000,0.000,0.000,0.000,5.514,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,0.000,0.118,0.000,0.000,0.000,0.000,0.319,0.000,0.000,0.000,0.316,5.747,0.000,1.812,0.792,0.000,4.874,0.000,0.000,2.658,0.000,0.000,0.000,17.976,3.023,13.469,26.559,10.561,1.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.716
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.671,0.941,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.000,0.000,0.000,0.000,0.000,18.137,0.000,24.728,2.927,40.523,7.899,3.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,1.795,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.443,0.000,0.000,0.000,0.000,0.000,3.498,0.000,4.447,0.000,4.811,0.000,0.000,18.078,0.000,0.000,66.926,0.000
gDNA-Cervical-GC112878,0.000,5.488,7.798,0.000,0.000,0.000,4.708,0.000,3.235,6.866,0.000,0.000,0.000,0.000,0.451,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.685,6.236,0.000,0.000,0.000,2.574,0.138,0.156,0.000,3.056,0.000,0.000,0.000,0.000,22.505,0.000,0.000,32.102
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.270,0.000,0.000,6.237,0.000,0.000,0.000,1.814,0.000,5.381,3.719,0.000,0.000,15.787,0.000,0.000,37.316,0.000,0.000,23.474,0.000
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.975,0.000,0.000,0.000,6.295,1.515,0.000,0.000,0.000,0.000,0.000,20.830,24.594,17.583,0.000,17.204,0.000
gDNA-Cervical-GC112882,0.000,2.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.671,0.725,0.000,2.585,0.000,0.000,2.142,0.000,0.000,0.000,0.000,4.897,0.000,0.000,0.000,0.000,0.475,0.000,3.554,7.202,0.000,0.000,0.000,0.000,27.397,0.000,7.027,36.805
gDNA-Cervical-GC112883,0.000,14.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.071,0.000,0.000,1.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.000,0.000,54.548,0.000,0.000,0.000,0.000,0.000,0.000,25.133
gDNA-Colorectal-GC112876,0.000,7.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.525,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.333,0.000,0.000,0.000,0.000,0.431,2.308,0.000,0.000,0.347,9.226,56.861,2.229,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.430
gDNA-Colorectal-GC119345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.143,0.000,0.000,0.000,0.000,3.931,51.396,14.508,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.020,0.000
gDNA-Colorectal-GC119346,0.325,7.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.455,0.000,4.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.633,2.575,2.110,3.152,4.210,58.251,3.828,11.624,0.000,0.000,0.350,0.606,0.000,0.000,0.000,0.000,0.000,0.000
