Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
gDNA-Breast-GC1002316,46.389,0.001,1.932,2.478,21.187,0.001,0.093,3.073,1.366,4.086,18.189,1.148,0.059
gDNA-Breast-GC1003962,25.887,54.241,0.294,19.431,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,63.780,26.591,0.000,9.628,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,66.687,4.646,0.000,0.082,3.209,2.571,0.222,4.542,4.658,0.641,6.947,4.243,1.552
gDNA-Breast-GC1003966,75.638,12.404,0.000,11.958,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,0.000,49.341,37.514,0.000,0.100,0.000,0.146,12.607,0.176,0.001,0.004,0.016,0.095
gDNA-Cervical-GC112878,1.477,3.218,15.087,0.399,35.800,8.976,0.886,1.009,1.281,0.829,10.380,4.853,15.805
gDNA-Cervical-GC112880,0.000,40.542,34.307,0.000,19.040,1.061,2.597,0.015,0.004,0.000,0.002,0.905,1.526
gDNA-Cervical-GC112881,0.082,0.000,99.503,0.413,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
gDNA-Cervical-GC112882,0.014,0.000,19.523,0.000,43.428,9.319,1.285,4.224,12.689,1.074,1.514,6.365,0.565
gDNA-Cervical-GC112883,0.000,0.000,0.000,0.000,74.996,0.030,1.406,2.473,0.354,20.475,0.064,0.192,0.010
gDNA-Colorectal-GC112876,3.657,0.000,1.343,0.889,12.654,51.089,6.560,2.537,0.616,11.049,5.934,1.395,2.276
gDNA-Colorectal-GC119345,0.000,59.992,0.000,40.001,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119346,11.634,2.543,0.151,33.863,15.733,16.010,0.840,0.040,0.214,7.437,6.733,3.602,1.200
gDNA-Colorectal-GC119347,0.078,26.001,0.000,22.574,0.003,51.343,0.000,0.000,0.000,0.000,0.000,0.000,0.001
gDNA-Colorectal-GC119348,5.974,7.700,4.352,37.604,5.180,9.151,2.615,1.901,3.986,0.524,5.868,3.212,11.934
gDNA-Colorectal-GC119349,0.006,58.237,0.001,17.071,5.838,0.001,5.691,0.363,1.958,8.338,1.471,0.897,0.129
gDNA-Ovarian-GC112879,0.563,0.026,0.000,0.833,75.704,8.089,0.323,3.202,0.057,6.914,2.390,1.896,0.003
gDNA-Ovarian-GC119433,26.448,25.193,0.009,28.836,15.609,0.003,0.000,0.000,0.000,0.000,0.000,0.000,3.902
gDNA-Ovarian-GC119434,11.343,28.343,0.069,22.511,24.624,0.000,3.725,1.939,0.301,0.849,5.531,0.686,0.079
gDNA-WBC-GC131344,0.001,0.000,0.804,0.098,0.015,1.826,2.320,3.622,1.367,1.904,3.820,8.237,75.985
gDNA-WBC-GC131345,2.894,0.036,0.343,2.432,0.161,6.631,4.253,8.589,1.453,0.297,9.193,11.336,52.382
gDNA-WBC-GC131346,0.000,0.103,0.000,3.478,0.000,3.335,6.948,5.454,8.937,10.897,1.325,2.517,57.006
gDNA-WBC-GC131347,0.000,0.000,0.000,0.656,0.152,2.781,1.739,21.177,8.183,2.903,8.711,1.382,52.316
gDNA-WBC-GC131348,0.002,3.790,0.036,1.112,16.522,0.026,4.880,1.823,0.892,0.864,4.256,8.073,57.723
gDNA-WBC-GC131349,0.041,0.001,1.489,1.124,0.625,3.246,5.789,8.018,7.268,4.387,7.319,6.250,54.443
gDNA-WBC-GC131350,0.863,0.154,0.000,1.496,2.367,4.464,0.349,4.932,4.888,2.167,7.880,6.713,63.727
gDNA-WBC-GC131351,0.000,0.000,0.000,0.000,33.889,1.228,5.692,0.565,1.139,0.001,0.973,2.686,53.827
gDNA-WBC-GC131352,3.133,0.008,0.000,0.587,4.385,0.472,5.143,18.595,4.401,2.673,7.611,8.088,44.903
gDNA-WBC-GC131353,0.000,0.000,3.656,2.544,2.758,1.194,3.230,10.820,1.670,1.428,10.100,8.044,54.557
gDNA-WBC-GC131354,2.910,0.019,1.412,0.875,1.514,0.399,9.187,12.955,4.051,4.082,6.704,11.181,44.711
gDNA-WBC-GC131355,2.690,0.000,0.000,0.000,1.509,6.177,2.719,0.019,9.496,8.581,7.090,9.274,52.444
