Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-Breast-GC1002316,11.864,2.974,1.810,0.018,2.850,1.448,4.563,4.746,3.541,6.516,13.823,1.011,3.878,0.973,10.445,0.047,0.757,0.004,0.438,0.096,0.273,27.918,0.008
gDNA-Breast-GC1003962,3.370,0.652,1.987,1.172,0.092,0.119,0.214,0.346,0.495,0.643,0.158,0.101,0.111,4.923,2.144,0.770,1.147,0.575,14.625,43.634,1.755,20.947,0.019
gDNA-Breast-GC1003963,2.252,1.617,1.736,0.587,0.142,0.029,0.072,0.240,0.106,0.205,0.031,0.120,0.049,1.795,0.052,6.728,0.184,4.087,0.269,17.333,0.214,61.408,0.744
gDNA-Breast-GC1003965,45.398,3.925,0.214,0.002,2.376,0.675,0.294,6.707,3.394,2.055,5.306,3.824,0.586,0.114,1.788,18.310,0.020,0.096,0.487,0.161,0.042,3.557,0.671
gDNA-Breast-GC1003966,18.080,2.609,2.537,3.312,0.100,0.261,0.322,0.495,0.213,0.395,0.148,0.107,0.225,0.567,0.138,37.016,0.473,1.726,7.654,1.077,0.137,21.781,0.631
gDNA-Cervical-GC112877,0.046,28.815,1.348,0.014,0.377,0.033,0.279,3.398,0.751,0.102,0.273,0.343,0.241,0.010,0.006,0.699,20.282,0.708,0.004,42.269,0.000,0.000,0.000
gDNA-Cervical-GC112878,0.653,1.135,11.596,0.004,0.399,3.995,3.590,0.398,3.739,7.554,17.551,5.621,13.832,1.144,6.394,9.822,5.069,0.001,0.008,0.018,7.124,0.037,0.319
gDNA-Cervical-GC112880,0.994,5.862,11.561,0.291,12.148,0.672,3.244,0.806,1.373,1.357,0.595,0.977,0.683,0.037,0.222,3.169,14.412,1.118,0.189,39.964,0.004,0.013,0.305
gDNA-Cervical-GC112881,0.960,0.162,6.116,0.220,1.086,0.091,0.729,0.535,0.949,0.097,0.584,0.627,0.464,33.014,0.064,0.494,52.338,0.008,0.003,0.118,0.469,0.848,0.024
gDNA-Cervical-GC112882,0.974,13.598,5.113,0.026,6.223,5.879,4.504,2.354,12.946,6.580,2.819,6.555,3.055,0.041,16.918,0.434,10.689,0.002,0.000,0.016,0.036,0.020,1.218
gDNA-Cervical-GC112883,0.250,0.640,0.091,0.002,32.893,0.240,7.643,5.803,3.282,9.915,1.809,2.119,2.874,0.045,31.865,0.130,0.156,0.080,0.012,0.008,0.001,0.107,0.036
gDNA-Colorectal-GC112876,1.107,0.729,0.399,0.416,4.036,49.336,6.601,3.565,0.097,9.678,6.688,3.305,2.237,1.414,6.700,2.485,0.422,0.059,0.352,0.015,0.217,0.124,0.019
gDNA-Colorectal-GC119345,0.280,1.153,1.222,3.683,0.427,0.020,0.479,0.146,0.673,0.273,0.409,0.388,0.093,7.068,0.009,0.238,0.837,66.824,2.078,10.697,0.386,0.011,2.604
gDNA-Colorectal-GC119346,0.286,2.741,1.122,15.697,4.615,4.406,3.549,2.220,3.726,4.079,6.629,3.011,1.710,6.090,2.105,2.378,0.255,1.072,2.663,1.047,1.249,0.717,28.630
gDNA-Colorectal-GC119347,0.288,0.646,0.237,8.552,0.580,32.600,0.232,0.372,0.019,0.051,0.590,0.854,0.897,0.003,0.629,3.242,0.227,15.163,1.658,8.282,0.959,0.020,23.899
