Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
gDNA-Breast-GC1002316,46.246,0.000,2.872,2.400,20.771,0.000,0.980,3.773,0.562,3.383,17.926,1.034,0.053,0.000
gDNA-Breast-GC1003962,40.567,2.862,2.941,5.597,12.377,0.000,0.009,0.018,0.007,0.129,0.000,0.003,0.002,35.486
gDNA-Breast-GC1003963,76.465,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.516
gDNA-Breast-GC1003965,69.617,0.179,0.000,0.000,1.481,3.106,0.140,5.160,4.206,1.422,7.077,4.204,1.659,1.749
gDNA-Breast-GC1003966,81.098,0.011,0.000,3.994,0.008,0.000,0.022,0.102,0.105,0.001,0.039,0.498,0.017,14.104
gDNA-Cervical-GC112877,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112878,1.735,0.001,14.791,0.043,37.025,8.271,0.806,1.172,1.303,0.708,10.366,5.225,16.272,2.282
gDNA-Cervical-GC112880,0.000,95.815,0.025,0.002,0.253,0.035,0.006,0.000,0.000,0.000,0.000,0.000,0.032,3.833
gDNA-Cervical-GC112881,0.001,0.000,99.921,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071
gDNA-Cervical-GC112882,0.002,1.983,17.909,0.000,42.374,9.783,1.105,4.418,12.636,1.357,1.365,6.472,0.597,0.000
gDNA-Cervical-GC112883,0.000,0.000,0.000,0.000,74.344,0.080,1.806,2.351,0.140,20.481,0.026,0.764,0.006,0.000
gDNA-Colorectal-GC112876,3.601,0.000,1.449,0.819,12.882,51.765,6.488,2.109,0.913,10.985,5.744,1.056,2.191,0.000
gDNA-Colorectal-GC119345,0.000,24.076,0.079,6.353,0.000,11.511,0.002,0.386,0.014,0.007,0.003,0.000,0.000,57.569
gDNA-Colorectal-GC119346,11.258,0.032,0.315,32.373,15.745,16.808,1.266,0.025,0.154,7.320,6.421,3.536,1.655,3.093
gDNA-Colorectal-GC119347,0.027,0.012,0.000,7.467,1.840,61.612,0.009,0.000,0.001,0.000,0.098,0.042,1.519,27.374
gDNA-Colorectal-GC119348,6.975,2.450,4.687,35.359,4.332,10.349,2.814,1.809,4.316,0.461,6.024,3.201,12.066,5.155
gDNA-Colorectal-GC119349,12.851,0.008,0.114,0.243,17.870,0.039,6.961,1.123,5.826,10.476,1.966,1.731,0.379,40.414
gDNA-Ovarian-GC112879,0.516,0.074,0.000,0.712,74.425,8.708,0.326,2.407,0.884,7.024,2.585,2.118,0.001,0.221
gDNA-Ovarian-GC119433,25.580,0.000,0.072,13.596,27.060,0.108,0.077,0.000,0.000,0.000,0.001,0.000,5.453,28.054
gDNA-Ovarian-GC119434,12.792,0.003,0.527,9.940,32.243,0.000,5.231,4.621,0.111,0.924,6.621,1.793,0.160,25.035
gDNA-WBC-GC131344,0.000,0.004,0.830,0.080,0.022,1.845,2.272,1.996,3.023,1.977,3.873,8.021,76.058,0.000
gDNA-WBC-GC131345,3.001,0.006,0.091,2.533,0.298,6.755,4.234,8.746,1.206,0.279,9.146,11.353,52.351,0.003
gDNA-WBC-GC131346,0.000,0.000,0.000,2.306,0.000,3.638,6.559,4.405,10.407,10.694,1.424,2.143,57.291,1.133
gDNA-WBC-GC131347,0.000,0.000,0.000,0.673,0.253,2.834,1.646,21.037,8.463,2.844,8.719,1.234,52.297,0.000
gDNA-WBC-GC131348,0.000,3.425,0.000,0.000,14.538,0.001,4.701,2.012,1.295,0.318,4.626,8.311,58.306,2.467
gDNA-WBC-GC131349,0.003,1.010,0.957,1.062,0.482,3.282,5.662,7.377,7.910,4.420,7.334,6.087,54.414,0.000
gDNA-WBC-GC131350,0.728,0.026,0.000,1.452,2.945,4.263,0.257,4.841,5.071,1.934,7.845,6.685,63.750,0.203
gDNA-WBC-GC131351,0.000,0.000,0.000,0.000,33.326,1.008,5.765,0.550,0.963,0.000,0.903,2.913,54.296,0.275
gDNA-WBC-GC131352,3.489,0.000,0.000,0.494,2.804,0.957,5.423,18.684,4.283,2.874,7.778,8.140,45.056,0.017
gDNA-WBC-GC131353,0.000,0.000,3.706,2.499,2.580,1.490,3.222,10.819,1.754,1.233,10.109,8.005,54.582,0.000
gDNA-WBC-GC131354,2.485,0.005,1.231,0.213,1.924,0.433,9.157,12.387,5.007,3.837,6.726,11.047,44.839,0.710
gDNA-WBC-GC131355,2.603,0.000,0.000,0.000,2.200,6.131,2.701,0.029,9.469,8.310,6.944,9.223,52.390,0.000
