Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
gDNA-Breast-GC1002316,55.664,3.814,0.964,0.000,5.274,0.000,3.757,4.089,0.000,7.510,17.152,1.776,0.000
gDNA-Breast-GC1003962,63.536,4.151,4.167,23.226,4.216,0.000,0.000,0.000,0.000,0.703,0.000,0.000,0.000
gDNA-Breast-GC1003963,77.707,0.000,7.480,14.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,69.660,0.000,0.000,1.851,1.407,3.376,2.959,5.116,4.584,0.000,5.606,2.842,2.599
gDNA-Breast-GC1003966,85.258,0.000,0.000,13.592,0.000,0.000,0.000,0.000,0.000,1.149,0.000,0.000,0.000
gDNA-Cervical-GC112877,7.778,46.867,14.705,21.332,9.051,0.000,0.000,0.266,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112878,8.302,0.589,22.883,1.203,10.710,3.753,2.925,5.001,2.958,4.685,12.050,6.223,18.717
gDNA-Cervical-GC112880,19.533,18.803,24.756,15.880,20.298,0.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112881,18.834,21.916,45.616,10.862,0.000,0.000,0.000,0.000,0.000,2.772,0.000,0.000,0.000
gDNA-Cervical-GC112882,0.000,18.151,20.175,0.000,18.439,10.000,1.460,4.466,9.273,7.988,2.109,7.202,0.736
gDNA-Cervical-GC112883,6.783,0.000,0.000,0.000,66.061,0.000,0.153,1.206,0.000,21.026,0.000,4.771,0.000
gDNA-Colorectal-GC112876,5.259,2.190,4.308,0.000,5.773,56.370,5.085,0.634,0.000,9.467,7.143,2.629,1.142
gDNA-Colorectal-GC119345,28.382,0.000,6.136,61.755,0.000,1.589,0.000,0.000,0.000,2.138,0.000,0.000,0.000
gDNA-Colorectal-GC119346,17.167,0.000,0.000,33.136,8.177,16.705,4.418,0.000,0.000,9.757,6.937,1.727,1.978
gDNA-Colorectal-GC119347,17.317,0.000,0.000,34.932,0.000,45.536,0.000,0.000,0.000,2.137,0.000,0.000,0.078
gDNA-Colorectal-GC119348,4.405,13.896,0.000,41.898,4.125,9.073,2.941,0.405,6.288,0.000,4.534,0.936,11.498
gDNA-Colorectal-GC119349,31.630,12.163,0.612,27.458,5.326,0.000,4.699,0.000,1.705,16.407,0.000,0.000,0.000
gDNA-Ovarian-GC112879,14.225,3.393,0.000,0.000,27.336,16.391,4.606,5.881,1.209,14.616,8.272,4.071,0.000
gDNA-Ovarian-GC119433,37.897,0.000,0.000,31.206,26.007,0.000,2.117,0.000,0.000,0.200,0.000,0.000,2.573
gDNA-Ovarian-GC119434,30.838,1.550,4.172,22.884,15.225,0.000,8.639,3.137,0.000,6.423,7.130,0.000,0.000
gDNA-WBC-GC131344,0.000,0.648,0.000,0.059,0.000,1.230,1.506,5.004,0.000,0.000,8.687,7.353,75.515
gDNA-WBC-GC131345,2.466,0.000,0.000,2.927,2.858,2.104,2.001,12.896,0.000,0.000,8.978,12.644,53.126
gDNA-WBC-GC131346,0.000,0.000,0.000,2.299,0.000,0.000,5.886,5.450,10.736,15.838,0.150,0.000,59.640
gDNA-WBC-GC131347,0.000,1.161,0.000,0.102,0.000,0.000,0.149,24.526,11.857,3.342,5.640,0.000,53.224
gDNA-WBC-GC131348,1.197,6.010,2.830,0.000,4.970,0.000,1.771,3.821,2.287,1.973,4.871,9.562,60.707
gDNA-WBC-GC131349,0.000,3.656,0.000,2.569,3.766,2.460,2.690,7.787,5.546,2.742,7.596,5.803,55.385
gDNA-WBC-GC131350,3.180,0.000,0.000,0.000,0.000,1.941,0.000,6.106,5.640,1.382,3.690,8.835,69.225
gDNA-WBC-GC131351,0.000,4.422,0.000,0.000,11.033,2.233,4.376,3.289,5.202,0.000,6.302,6.961,56.183
gDNA-WBC-GC131352,1.333,0.000,0.000,0.000,0.000,0.780,2.483,20.980,5.156,5.798,6.595,8.917,47.958
gDNA-WBC-GC131353,0.000,0.000,0.000,1.097,5.576,0.000,3.129,12.286,4.841,0.000,15.017,6.149,51.905
gDNA-WBC-GC131354,1.803,0.000,4.293,0.000,3.448,0.000,6.164,16.257,5.106,3.104,9.259,8.532,42.035
gDNA-WBC-GC131355,0.000,0.000,0.000,2.613,0.535,4.196,2.673,0.000,15.180,10.652,7.934,1.253,54.964
