Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-Breast-GC1002316,3.206,3.808,0.396,0.185,0.476,0.485,0.127,0.478,0.598,3.225,0.308,2.614,0.369,1.027,1.569,2.084,2.611,3.733,0.588,1.798,0.113,1.444,1.604,4.850,5.036,8.664,4.695,4.415,0.048,0.014,0.124,0.516,0.140,2.092,0.450,0.061,0.042,0.417,1.614,3.144,0.025,29.114,0.033,0.993,0.449,0.057,0.099,0.000,0.000,0.062
gDNA-Breast-GC1003962,1.078,0.290,0.038,0.114,0.128,0.184,0.040,0.124,0.059,0.299,0.205,0.078,0.679,0.002,1.888,0.379,1.913,1.745,1.308,1.630,0.238,0.688,0.796,7.913,2.696,0.783,1.424,9.575,0.292,1.400,0.005,0.001,0.537,0.553,0.055,1.401,1.072,2.915,0.803,0.651,0.001,5.236,1.697,1.728,41.372,0.104,0.000,1.954,0.100,1.826
gDNA-Breast-GC1003963,0.651,0.880,0.033,0.062,0.101,0.100,0.177,0.083,0.052,0.519,0.495,0.423,0.333,0.108,1.322,1.133,0.447,0.205,0.194,0.020,0.140,0.375,0.545,14.227,1.353,3.670,8.159,13.443,0.042,0.062,0.000,0.011,0.620,0.276,0.301,0.181,1.477,0.906,0.999,0.077,0.002,0.655,0.557,0.724,34.062,2.457,0.002,0.034,0.043,7.262
gDNA-Breast-GC1003965,1.330,1.591,0.055,0.229,0.442,0.246,0.645,0.140,0.245,0.715,0.319,1.266,0.631,0.536,1.645,2.237,2.304,1.357,2.375,1.227,0.411,0.653,1.204,11.031,0.869,14.879,4.562,0.883,0.110,0.001,0.364,0.674,0.340,1.236,0.820,0.150,0.475,0.629,0.520,0.120,0.005,37.536,0.001,1.436,0.211,1.271,0.046,0.002,0.000,0.027
gDNA-Breast-GC1003966,0.042,0.396,0.131,0.171,0.067,0.205,0.173,0.133,0.203,0.200,0.436,0.340,0.585,0.129,0.200,0.533,0.645,0.176,0.621,1.181,0.305,0.655,0.467,3.994,0.835,6.202,1.626,16.651,0.825,1.325,0.090,0.026,0.698,0.507,0.183,0.079,3.036,0.436,1.606,0.511,0.200,31.693,0.706,5.073,9.287,0.162,0.008,4.084,0.014,2.149
gDNA-Cervical-GC112877,0.744,0.726,0.061,0.047,0.043,0.031,0.186,0.059,0.014,0.481,0.323,0.041,0.079,0.430,1.959,0.013,1.511,4.244,2.197,2.016,0.215,0.545,0.897,0.373,0.181,0.087,0.039,0.072,0.014,0.026,0.000,0.002,0.109,0.157,0.090,2.842,3.939,0.400,0.737,0.447,0.010,0.002,0.001,0.140,0.016,0.000,0.003,0.031,0.009,73.412
gDNA-Cervical-GC112878,2.057,1.021,2.977,2.998,3.383,0.755,1.866,0.678,3.027,2.029,2.354,1.303,1.102,0.410,0.377,0.124,0.883,0.742,2.160,0.595,0.654,1.316,1.206,0.708,0.157,0.838,1.709,0.658,0.180,0.009,1.071,2.851,0.063,5.697,2.461,10.062,0.050,7.199,0.669,2.258,0.136,3.941,0.298,1.449,0.114,0.010,23.039,0.118,0.223,0.017
gDNA-Cervical-GC112880,1.090,0.759,0.381,0.216,0.196,0.145,0.175,0.498,0.076,0.505,0.168,0.080,1.017,0.147,1.767,1.742,1.038,1.875,1.059,0.610,1.009,0.130,0.820,0.376,1.438,0.151,0.025,1.190,0.144,0.591,0.184,0.155,0.528,0.339,0.640,0.728,0.120,15.558,0.355,2.563,0.358,0.327,0.294,4.694,0.615,0.028,0.213,2.869,0.091,49.924
gDNA-Cervical-GC112881,0.460,0.602,0.065,0.132,0.108,0.019,0.170,0.038,0.140,0.424,0.272,0.388,0.307,0.099,0.284,0.562,0.884,2.588,0.313,0.633,0.499,0.077,0.542,0.287,1.725,0.022,0.171,0.015,0.067,0.077,0.002,0.001,1.083,0.082,0.101,0.592,3.651,0.398,0.689,1.512,0.000,0.031,0.002,77.936,0.044,0.000,0.002,0.079,0.195,1.632
gDNA-Cervical-GC112882,2.217,2.186,0.117,0.035,0.878,0.052,0.960,0.072,0.187,0.577,1.587,0.011,0.289,3.407,2.767,2.537,2.529,3.195,0.958,2.840,2.506,2.230,1.951,0.461,2.910,0.747,1.697,0.150,0.185,0.041,1.014,2.760,1.618,4.120,2.789,1.165,5.335,25.888,0.869,1.302,0.089,0.883,0.018,1.702,0.003,0.024,10.134,0.004,0.001,0.001
gDNA-Cervical-GC112883,3.649,4.170,0.120,0.115,0.186,0.015,0.143,0.045,0.003,1.161,1.042,0.910,1.294,0.385,0.414,2.308,3.281,1.737,0.500,1.650,1.172,0.295,1.855,0.107,0.999,0.666,1.492,0.186,0.051,0.003,0.047,1.117,1.646,2.145,60.724,0.528,0.155,0.691,1.180,0.317,0.015,0.656,0.001,0.014,0.002,0.107,0.627,0.001,0.000,0.073
gDNA-Colorectal-GC112876,1.315,1.391,0.384,0.424,0.224,0.381,0.478,0.311,0.448,0.486,1.052,0.366,0.179,0.761,0.383,0.982,1.108,0.924,0.621,0.224,1.266,0.771,1.267,0.110,0.455,0.369,0.781,0.165,0.100,0.147,19.092,41.125,1.698,2.254,3.162,0.291,0.786,0.243,0.458,1.367,3.408,2.356,0.055,0.007,0.023,2.568,2.789,0.008,0.408,0.029
gDNA-Colorectal-GC119345,0.429,0.557,0.044,0.052,0.023,0.008,0.032,0.038,0.053,0.043,0.078,0.283,0.019,0.317,1.006,1.333,1.047,0.002,0.533,0.041,0.007,0.006,0.711,0.539,0.466,0.083,0.071,0.155,0.589,1.799,0.341,0.164,0.469,0.146,0.071,0.101,1.011,0.383,0.501,0.027,12.671,0.138,1.484,0.459,2.762,0.068,0.002,47.669,19.890,1.280
gDNA-Colorectal-GC119346,0.711,2.166,0.787,0.249,0.657,0.715,0.751,0.387,0.803,0.457,0.021,1.174,0.365,0.071,1.758,0.161,1.614,0.937,1.664,1.210,1.537,0.934,0.023,0.136,0.904,0.314,0.288,0.738,1.349,3.347,4.581,1.405,1.620,0.947,1.564,0.158,0.990,0.798,0.462,1.072,4.190,2.484,0.992,0.385,0.089,42.555,4.375,3.895,0.544,0.668
gDNA-Colorectal-GC119347,0.156,0.154,0.001,0.063,0.097,0.055,0.048,0.036,0.086,0.024,0.039,0.029,0.063,0.023,0.051,0.102,0.081,0.062,0.052,0.110,0.036,0.010,0.021,0.078,0.061,0.126,0.124,0.044,0.267,0.476,35.070,0.661,0.101,0.010,0.172,0.072,0.096,0.074,0.188,0.166,33.455,0.036,0.009,0.027,10.946,3.745,11.606,0.298,0.629,0.060
gDNA-Colorectal-GC119348,1.646,1.898,0.529,0.559,2.488,2.182,3.768,2.565,1.509,1.183,1.828,0.220,1.606,0.137,0.878,1.264,2.128,0.198,0.956,0.564,1.999,2.104,1.739,0.250,0.906,0.756,0.610,0.977,4.466,5.180,1.914,1.351,0.364,1.927,0.213,0.829,1.141,0.504,0.162,0.945,23.782,0.171,6.772,2.382,0.486,0.504,1.644,3.319,2.746,1.750
gDNA-Colorectal-GC119349,3.270,0.261,0.197,0.255,0.053,0.210,0.266,0.083,0.441,1.397,0.707,1.416,1.147,0.119,2.969,3.539,3.167,0.558,3.349,1.144,0.187,1.954,2.357,0.182,2.574,0.671,1.104,1.743,1.462,0.076,0.993,0.883,0.531,1.570,1.490,1.067,0.025,0.285,0.694,2.933,0.047,0.358,35.107,0.061,2.079,2.172,0.022,8.138,2.531,2.160
gDNA-Ovarian-GC112879,4.580,5.121,0.406,0.429,0.404,0.360,0.465,0.150,0.196,0.980,2.269,2.154,1.206,0.844,3.280,0.612,3.666,2.735,1.809,1.710,0.469,0.620,2.481,0.828,0.494,1.671,5.081,0.483,0.415,0.008,0.327,4.003,2.446,4.632,0.079,1.051,0.354,0.173,0.347,2.312,0.046,1.674,0.035,0.159,0.002,0.209,35.908,0.012,0.051,0.257
gDNA-Ovarian-GC119433,0.491,0.063,2.208,0.714,2.154,1.032,1.389,0.086,1.759,0.686,0.094,0.244,0.033,0.141,0.213,0.118,0.069,0.315,0.379,0.047,0.765,0.759,0.486,0.349,0.795,1.270,1.474,1.176,0.298,1.282,0.718,0.680,0.710,1.431,1.266,0.816,0.532,1.573,0.984,1.017,1.100,1.955,15.436,1.917,1.418,4.610,11.752,0.132,28.222,2.843
gDNA-Ovarian-GC119434,0.404,1.782,0.705,1.255,1.206,0.231,1.199,0.938,0.045,2.630,2.604,2.028,1.992,0.315,0.381,4.282,0.346,1.750,0.138,2.943,0.760,6.839,1.360,1.091,1.800,1.536,1.753,1.308,1.270,3.327,0.211,0.017,1.699,1.834,1.166,1.254,1.536,1.908,2.677,2.345,0.124,0.275,14.169,0.674,1.137,0.613,2.376,0.638,14.275,2.855
gDNA-WBC-GC131344,0.828,1.204,26.221,0.261,2.491,19.881,6.905,9.882,11.295,0.129,2.219,0.482,0.115,2.836,0.778,0.689,0.719,0.270,0.936,1.137,0.870,1.308,0.243,0.096,0.234,0.401,0.189,0.132,0.044,0.004,0.463,0.577,0.134,1.591,0.645,0.285,0.083,0.087,0.390,0.245,0.381,0.009,0.003,0.002,0.004,0.294,1.995,0.003,0.009,0.001
gDNA-WBC-GC131345,1.813,2.305,15.429,7.357,4.651,6.139,8.359,7.365,8.558,4.819,0.743,0.426,1.322,4.357,1.829,0.205,0.649,1.934,2.055,0.686,1.054,1.464,2.053,0.469,0.746,0.888,0.709,0.237,0.460,0.642,0.372,0.815,0.228,1.344,1.061,0.457,0.013,0.495,0.801,0.298,0.415,0.278,0.338,0.102,0.096,0.707,2.269,0.030,0.127,0.033
gDNA-WBC-GC131346,3.373,1.641,19.339,0.214,9.143,11.586,9.113,4.141,5.382,1.694,2.040,3.407,4.841,0.176,1.947,1.389,2.074,0.779,0.126,1.827,2.194,2.175,1.133,0.129,0.412,0.081,0.576,0.002,0.037,0.241,1.196,0.161,0.516,1.427,1.823,0.141,0.132,0.331,0.258,0.110,0.092,0.108,0.014,0.002,0.049,1.671,0.432,0.121,0.191,0.010
gDNA-WBC-GC131347,3.960,0.590,1.818,9.412,8.804,11.252,7.009,11.454,3.109,2.652,5.201,2.584,1.434,2.613,7.226,1.792,2.499,2.459,0.658,3.692,0.819,2.430,1.451,0.023,0.292,0.418,0.191,0.064,0.334,0.235,0.034,0.087,0.073,0.687,0.880,0.189,0.144,0.390,0.090,0.593,0.061,0.011,0.137,0.004,0.001,0.009,0.017,0.058,0.018,0.041
gDNA-WBC-GC131348,0.098,1.643,2.631,1.131,15.291,13.277,7.863,22.942,4.591,0.918,0.552,3.168,1.946,3.314,0.342,3.884,0.007,0.788,2.220,0.436,1.855,1.669,2.118,0.590,0.034,0.280,0.234,0.128,0.221,0.959,0.005,0.003,0.212,0.829,0.760,0.254,0.177,0.201,0.775,0.113,0.003,0.000,0.158,0.005,0.138,0.049,0.002,0.648,0.505,0.035
gDNA-WBC-GC131349,3.115,0.819,3.599,13.102,7.669,15.228,6.188,0.394,9.842,2.183,0.960,3.753,5.780,2.454,0.258,1.131,2.760,1.749,3.487,0.298,2.247,1.627,2.043,0.208,0.495,0.858,0.095,0.142,0.533,0.209,0.669,0.182,0.962,1.395,0.196,0.632,0.022,0.401,1.068,0.125,0.138,0.061,0.127,0.064,0.033,0.501,0.113,0.008,0.027,0.053
gDNA-WBC-GC131350,0.450,0.223,18.264,5.059,15.825,5.285,13.263,9.445,1.642,4.159,0.471,1.652,2.787,2.681,1.189,1.665,0.949,2.040,1.203,0.701,0.349,1.889,0.483,0.269,0.430,0.445,0.371,0.295,0.746,0.243,0.549,0.006,0.406,0.226,1.406,0.161,0.047,0.457,0.258,0.108,0.521,0.009,0.196,0.010,0.010,0.240,0.718,0.052,0.135,0.011
gDNA-WBC-GC131351,1.488,0.726,1.307,8.754,8.479,6.790,0.465,27.068,12.366,0.617,2.137,5.848,0.705,3.310,0.959,0.046,1.248,1.950,0.659,0.283,3.680,1.052,0.159,0.277,0.696,0.344,0.108,0.029,0.094,0.403,0.097,0.169,0.409,1.851,1.261,0.145,0.161,0.344,0.088,0.735,0.074,0.095,0.734,0.011,0.006,1.137,0.081,0.087,0.447,0.021
gDNA-WBC-GC131352,1.957,3.951,4.213,9.959,8.318,2.105,8.187,6.272,10.817,2.791,3.025,3.663,0.962,0.507,0.535,6.698,5.099,1.002,3.620,1.657,3.887,1.983,1.255,0.255,0.338,0.439,0.273,0.043,0.668,0.216,0.006,0.008,0.396,1.122,1.404,0.261,0.212,0.017,0.989,0.246,0.021,0.000,0.118,0.007,0.003,0.338,0.030,0.035,0.079,0.014
gDNA-WBC-GC131353,2.020,1.342,15.099,3.040,2.862,12.983,7.028,7.069,9.003,2.407,0.406,5.910,1.459,3.093,0.458,0.971,1.055,0.911,2.382,2.096,1.768,3.000,2.703,0.105,0.548,0.099,0.147,0.145,0.076,0.356,0.501,0.742,0.037,1.602,1.404,0.502,0.032,0.051,0.048,0.257,0.060,0.021,1.472,0.185,0.008,0.041,1.411,0.506,0.496,0.080
