Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
gDNA-Breast-GC1002316,0.047,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.899,1.822,0.197,0.002,0.002,0.094,0.011,0.075,0.065,0.019,0.062,0.004,0.001,0.018,0.446,0.404,16.869,16.748,8.177,0.000,0.101,0.000,0.000,0.001,0.000,53.890,0.008,0.003,0.000,0.000,0.000,0.002
gDNA-Breast-GC1003962,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.359,0.223,0.700,0.681,0.010,0.102,0.001,0.000,0.007,0.148,0.155,0.005,0.276,53.610,0.000,3.956,0.000,0.000,0.000,0.000,15.410,0.211,0.000,10.623,0.000,0.002,13.505
gDNA-Breast-GC1003963,0.097,0.066,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.135,0.041,0.034,0.000,0.004,1.342,0.478,1.453,1.620,0.290,0.147,0.003,0.007,0.020,1.349,0.112,3.092,5.989,65.901,0.001,0.021,0.000,0.000,0.000,0.000,0.101,1.072,0.017,3.169,0.131,1.045,12.260
gDNA-Breast-GC1003965,0.473,0.006,0.002,0.005,0.004,0.002,0.014,0.000,0.003,0.150,0.202,0.103,0.002,0.007,0.077,0.016,0.016,0.005,0.003,0.074,0.001,0.002,0.005,4.526,2.781,68.806,12.211,2.859,1.238,0.014,0.066,0.043,3.978,0.246,0.693,0.175,0.015,0.000,0.000,0.132,1.046
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.862,0.240,26.680,2.092,32.454,0.351,0.367,0.005,0.005,0.019,0.005,0.279,1.195,3.240,4.995,0.009,0.210,10.986
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.863,0.085,1.411,0.128,0.002,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,97.421,0.000,0.000,0.000
gDNA-Cervical-GC112878,0.003,0.054,0.029,0.002,0.032,0.018,0.013,0.003,0.004,0.072,0.062,0.121,0.018,0.160,0.000,0.000,0.000,0.001,0.004,0.001,0.000,0.003,0.001,0.001,0.010,0.020,0.010,0.002,0.072,0.000,1.429,4.060,0.066,68.953,0.000,0.001,24.768,0.000,0.000,0.000,0.004
gDNA-Cervical-GC112880,0.006,0.028,0.114,0.064,0.066,0.112,0.224,0.036,0.058,0.001,0.021,0.029,0.070,0.069,0.012,0.012,0.037,0.043,0.045,0.048,0.189,0.063,0.161,0.258,0.195,0.056,0.007,0.074,0.170,1.487,0.553,0.237,0.232,0.239,4.608,0.005,0.003,89.114,0.001,0.012,1.240
gDNA-Cervical-GC112881,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.595,0.828,0.316,1.108,0.005,0.499,0.000,0.000,0.005,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,96.638,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112882,0.538,1.593,0.021,0.242,0.161,0.055,0.068,0.047,0.043,1.253,0.691,0.940,2.517,3.716,1.422,1.780,0.777,2.437,1.269,2.508,0.713,1.294,2.023,0.000,0.007,0.024,0.018,0.000,0.000,0.000,0.032,5.335,1.003,0.215,8.197,0.000,59.056,0.000,0.000,0.003,0.000
