Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
gDNA-Breast-GC1002316,3.837,4.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.859,8.282,0.000,0.000,0.000,0.000,0.000,2.174,0.000,0.000,0.000,0.000,0.000,0.368,0.000,7.070,17.377,44.539,4.137,0.000,0.000,0.817,0.000,0.000,0.000,4.894,0.407,0.000,0.000,0.000,0.246
gDNA-Breast-GC1003962,0.000,0.000,0.000,0.000,0.000,1.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.065,0.000,0.000,2.389,5.094,11.273,10.478,46.710,0.000,0.000,8.716,0.000,0.000,0.000,3.627,0.000,7.855,0.000,0.000,0.000
gDNA-Breast-GC1003963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.166,0.000,16.180,9.540,53.101,6.133,0.000,3.228,0.376,0.000,0.000,0.000,0.118,3.894,0.000,0.000,2.263
gDNA-Breast-GC1003965,4.094,0.632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.149,0.000,0.000,0.000,0.000,0.000,0.000,3.863,3.339,67.554,14.978,3.481,0.908,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39.148,0.356,16.872,8.784,21.730,4.487,0.000,3.432,0.019,0.250,0.000,0.000,1.197,3.009,0.715,0.000,0.000
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,4.491,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.363,0.000,0.000,0.000,6.449,0.000,2.076,3.034,0.000,0.000,0.000,9.597,0.000,4.869,19.829,26.315,21.976
gDNA-Cervical-GC112878,5.398,7.067,9.400,0.000,1.820,0.000,1.603,0.000,1.116,0.000,0.000,7.119,0.856,0.000,0.000,0.000,1.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.938,2.953,1.200,0.000,3.891,5.158,0.053,0.963,9.399,0.775,3.931,17.163,2.249,8.965,0.000,0.000
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.000,0.000,4.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.570,0.000,0.000,0.000,4.566,0.000,0.000,4.810,0.000,0.000,8.365,2.854,0.000,0.000,12.541,0.000,12.034,18.369,0.000,27.359
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,4.708,0.000,0.000,0.560,0.000,0.000,0.000,0.000,8.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.531,17.845,0.000,0.000,1.943,2.031,0.000,2.689,0.000,0.000,2.267,3.775,7.485,10.895,12.810,0.000,20.097
gDNA-Cervical-GC112882,0.000,3.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.638,0.188,0.000,0.000,5.343,0.000,0.000,4.904,13.285,0.000,4.962,5.324,0.000,0.000,0.000,6.650,0.901,0.000,0.000,0.000,4.870,0.312,0.000,0.000,0.000,8.209,13.333,0.000,21.253,0.000,5.498
gDNA-Cervical-GC112883,0.258,32.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.379,0.000,0.000,1.060,0.000,0.000,7.563,0.438,0.000,0.000,0.959,0.000,0.000,0.000,0.549,0.136,2.415,0.000,0.000,1.724,0.003,0.000,2.725,0.000,47.421,0.000,0.000,0.197,0.000,0.795
