Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-Breast-GC1002316,8.945,1.968,1.349,0.001,5.052,0.509,1.779,9.309,4.961,8.388,4.231,2.854,2.038,0.597,0.098,0.091,0.011,0.045,0.098,30.893,0.646,0.030,16.108
gDNA-Breast-GC1003962,6.719,1.932,0.585,2.094,1.679,0.063,3.390,0.797,6.106,1.896,0.612,0.232,0.008,0.241,0.066,2.663,3.667,0.392,48.910,12.290,0.394,0.036,5.229
gDNA-Breast-GC1003963,0.336,2.239,2.130,0.615,0.589,0.309,2.238,4.341,1.096,3.004,0.420,1.400,0.648,1.142,0.019,0.027,0.334,0.112,54.329,3.102,0.106,0.043,21.421
gDNA-Breast-GC1003965,13.603,3.442,0.941,0.025,4.047,0.665,3.115,1.228,4.901,6.377,0.635,3.588,0.289,0.263,0.152,0.658,0.002,0.307,0.407,39.398,0.183,0.232,15.541
gDNA-Breast-GC1003966,8.045,2.885,2.194,1.478,1.675,0.822,1.705,0.731,2.147,1.270,0.120,1.104,0.706,7.177,1.631,0.694,1.993,0.065,22.121,40.575,0.092,0.224,0.547
gDNA-Cervical-GC112877,0.540,20.623,23.172,0.167,1.208,0.000,1.610,11.600,1.579,0.675,1.056,0.727,0.031,4.409,8.421,0.001,0.022,11.755,6.636,0.322,5.433,0.000,0.012
gDNA-Cervical-GC112878,1.708,0.970,1.640,0.065,10.422,6.476,3.177,3.853,1.214,4.019,0.020,1.608,13.401,39.679,0.173,5.189,0.047,0.071,0.039,0.003,0.190,0.455,5.582
gDNA-Cervical-GC112880,0.332,5.481,14.159,0.619,1.427,0.023,1.850,4.867,4.344,1.607,1.031,1.247,0.324,8.767,2.712,0.058,0.941,44.323,3.382,2.194,0.269,0.011,0.031
gDNA-Cervical-GC112881,0.367,3.153,11.639,0.002,0.210,0.001,0.951,0.035,1.834,1.604,0.209,1.104,0.228,5.252,0.008,0.002,0.021,1.613,0.718,0.126,70.921,0.000,0.001
gDNA-Cervical-GC112882,0.191,8.558,9.912,0.043,17.141,0.207,5.808,8.833,9.505,2.833,3.330,3.050,0.095,6.933,0.207,16.792,0.014,0.519,0.016,3.583,0.587,0.053,1.790
gDNA-Cervical-GC112883,0.278,3.887,0.149,0.002,42.315,2.144,4.876,10.289,6.938,12.656,3.508,1.233,0.789,1.593,0.010,0.033,0.000,0.966,0.008,2.307,0.084,0.007,5.927
gDNA-Colorectal-GC112876,0.095,1.577,0.214,0.121,6.591,55.105,1.683,4.626,1.261,3.087,0.584,3.549,0.946,1.988,0.759,2.188,0.037,0.557,0.061,1.118,1.244,11.804,0.805
gDNA-Colorectal-GC119345,0.208,0.069,0.872,7.814,0.075,0.737,0.073,1.161,0.684,0.265,0.340,0.423,0.070,0.289,52.518,0.032,25.929,1.506,4.747,0.113,1.899,0.054,0.123
gDNA-Colorectal-GC119346,2.440,1.464,1.666,4.290,0.025,2.975,2.040,1.430,3.286,4.623,3.271,2.885,0.647,1.342,6.186,20.295,3.822,0.117,3.620,1.578,3.453,28.451,0.092
