Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-Breast-GC1002316,0.507,2.729,0.148,1.761,1.995,1.635,2.259,1.343,1.613,1.122,0.459,2.542,0.524,2.095,0.295,0.945,0.470,1.843,2.482,0.509,1.108,0.146,0.369,13.393,0.783,9.866,2.922,7.987,0.076,0.004,0.113,0.150,0.643,0.872,8.665,0.957,0.004,0.075,2.968,0.632,0.001,7.837,0.045,6.724,3.166,0.001,0.000,3.129,0.004,0.084
gDNA-Breast-GC1003962,0.986,0.154,0.593,0.105,0.183,0.403,0.439,0.583,0.284,0.692,0.680,0.359,0.404,0.212,0.389,0.203,1.240,1.559,0.268,0.834,0.029,0.690,0.688,12.332,1.378,2.929,1.586,1.105,0.077,1.370,0.003,0.017,0.559,0.444,0.416,0.001,0.818,1.070,0.373,1.518,3.671,53.426,0.001,0.202,1.064,0.112,0.244,0.107,1.788,1.412
gDNA-Breast-GC1003963,1.499,0.775,0.971,0.624,0.744,0.493,1.303,0.960,0.374,0.514,0.460,1.422,0.620,0.287,1.786,1.615,0.991,1.360,0.042,0.777,0.472,0.208,0.331,7.809,0.034,1.907,5.283,4.234,0.369,0.471,0.047,0.094,0.209,0.054,0.576,0.202,0.303,0.797,0.754,0.279,0.266,16.168,0.003,0.141,0.123,0.209,0.035,0.000,0.060,40.947
gDNA-Breast-GC1003965,1.029,1.952,0.875,0.735,0.726,0.944,0.607,0.087,0.980,0.141,0.852,1.219,0.776,1.178,1.517,1.348,0.009,0.234,0.965,1.722,0.630,0.838,0.289,7.560,0.774,5.971,21.426,5.812,0.100,0.001,0.101,0.202,0.713,0.551,0.746,0.009,0.210,0.250,0.992,0.442,0.001,1.060,0.196,30.317,0.374,0.007,0.000,1.163,0.003,1.368
gDNA-Breast-GC1003966,0.281,0.382,0.337,0.552,0.001,0.241,0.257,0.365,0.186,0.510,0.076,0.544,0.541,0.473,0.732,0.464,0.422,0.674,0.221,0.143,0.388,0.216,0.273,14.530,1.544,11.156,9.834,4.653,0.466,0.202,0.087,0.125,0.400,0.510,0.371,1.709,0.439,0.560,1.014,0.238,0.121,18.839,0.011,1.507,0.686,1.042,0.406,2.269,1.046,17.954
gDNA-Cervical-GC112877,0.234,0.408,0.013,0.123,0.052,0.007,1.313,0.504,0.218,0.270,1.462,0.766,0.836,0.286,1.948,0.812,2.195,0.013,1.068,0.322,0.261,0.720,0.085,0.750,0.690,0.132,0.116,0.427,0.187,2.124,0.005,0.020,1.034,0.258,0.783,0.172,35.831,0.069,0.830,40.412,0.103,0.006,0.001,0.002,0.008,0.785,0.985,0.103,0.016,0.236
gDNA-Cervical-GC112878,0.669,2.308,1.847,1.927,2.012,2.197,2.785,2.521,2.399,0.435,0.693,0.744,0.495,1.293,1.284,1.815,0.484,1.885,0.900,1.823,0.555,0.914,0.620,1.055,0.358,0.401,2.289,0.744,0.298,0.062,0.796,1.183,2.144,0.509,1.866,1.218,0.644,3.617,2.181,1.460,0.017,0.353,42.786,0.049,1.587,0.031,0.016,1.211,0.201,0.321
gDNA-Cervical-GC112880,0.728,0.164,0.807,0.592,0.873,0.787,1.314,0.903,0.399,0.203,0.184,0.886,0.517,0.892,1.515,0.014,1.546,0.311,1.160,1.518,1.607,0.299,0.040,0.329,1.792,0.136,0.314,0.639,0.608,5.019,0.187,0.210,2.056,0.429,3.419,0.741,28.824,9.999,0.109,17.429,2.717,0.383,0.022,0.005,0.316,0.032,1.220,2.671,0.259,2.874
gDNA-Cervical-GC112881,0.672,0.221,0.533,0.305,0.581,0.207,0.183,0.022,0.972,0.222,1.778,0.302,0.735,0.184,3.533,3.146,1.627,2.962,0.850,0.796,0.351,0.342,0.260,0.419,0.875,0.084,0.071,0.110,0.097,0.194,0.002,0.002,0.521,0.201,0.297,20.008,54.664,0.041,0.689,0.405,0.002,0.207,0.000,0.005,0.003,0.026,0.169,0.002,0.109,0.013
gDNA-Cervical-GC112882,1.437,2.247,0.813,1.243,1.453,1.233,0.317,1.632,1.113,1.396,0.445,2.404,3.274,1.393,1.576,1.961,0.324,1.346,2.526,1.964,0.695,1.087,2.343,0.464,1.596,0.149,1.132,0.332,0.237,0.019,0.262,0.740,0.814,2.284,4.369,0.849,4.668,16.696,3.767,0.621,0.001,0.151,21.556,0.003,0.235,0.007,0.004,4.803,0.006,0.014
