Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-Breast-GC1002316,13.440,0.428,0.612,0.155,2.314,0.247,2.471,5.510,6.532,3.499,2.183,5.022,4.344,16.392,3.092,32.294,0.326,0.235,0.092,0.658,0.001,0.007,0.145
gDNA-Breast-GC1003962,3.796,1.002,1.987,3.201,1.535,0.050,1.733,2.806,2.344,0.066,1.709,2.686,1.067,0.215,2.845,22.042,0.427,2.606,0.948,42.313,0.917,3.115,0.592
gDNA-Breast-GC1003963,11.444,2.787,0.180,1.332,0.183,0.000,1.665,1.627,2.747,0.133,4.658,2.757,0.465,0.125,0.795,15.714,0.762,3.067,0.683,47.144,0.981,0.197,0.555
gDNA-Breast-GC1003965,16.759,1.681,0.134,0.068,1.163,0.052,0.723,3.313,4.091,7.344,0.870,3.425,3.333,37.387,2.069,11.986,0.042,0.082,0.497,4.672,0.024,0.042,0.242
gDNA-Breast-GC1003966,18.854,1.398,0.233,0.709,1.300,0.749,0.537,1.918,1.998,0.567,1.828,1.917,1.103,15.089,1.508,4.163,0.077,3.659,0.082,40.092,0.026,1.269,0.923
gDNA-Cervical-GC112877,0.737,1.040,1.247,0.819,0.649,0.055,1.006,5.044,3.147,1.423,4.267,1.174,0.421,0.003,0.185,0.450,1.603,73.216,0.636,0.206,0.164,2.505,0.001
gDNA-Cervical-GC112878,1.666,5.048,6.832,0.087,7.995,1.170,3.531,0.831,1.757,12.734,2.236,0.792,3.271,23.577,1.197,0.041,11.625,0.671,12.740,0.105,0.141,0.464,1.489
gDNA-Cervical-GC112880,1.181,9.715,11.010,2.486,3.348,0.328,0.434,3.265,3.586,2.679,2.850,1.481,1.305,0.013,0.299,0.563,6.215,38.912,0.648,3.316,1.876,4.473,0.016
gDNA-Cervical-GC112881,0.229,1.204,0.037,0.110,0.656,0.000,1.201,3.862,3.230,0.718,2.404,1.273,1.197,0.001,61.176,0.007,0.068,20.359,2.071,0.128,0.034,0.028,0.008
gDNA-Cervical-GC112882,3.216,3.244,11.018,0.130,6.427,1.509,5.146,4.764,6.375,4.731,3.411,4.908,2.997,0.284,4.346,0.214,32.506,0.142,3.958,0.564,0.014,0.091,0.007
gDNA-Cervical-GC112883,0.822,2.976,0.313,0.036,31.365,0.405,1.435,8.917,2.667,7.942,6.789,4.887,2.333,1.682,0.062,6.312,20.895,0.017,0.091,0.005,0.001,0.001,0.051
gDNA-Colorectal-GC112876,0.722,3.304,0.641,0.351,0.028,61.915,2.211,3.629,4.875,0.211,2.715,1.641,2.187,1.486,2.291,1.635,2.822,0.223,2.058,0.010,0.010,0.995,4.039
gDNA-Colorectal-GC119345,0.012,0.445,0.318,5.810,0.388,0.345,0.457,2.819,2.335,1.261,1.790,1.179,0.934,0.029,2.009,0.239,0.024,2.404,0.226,1.477,54.881,20.588,0.031
