Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-Breast-GC1002316,67.921,0.000,0.000,0.000,1.270,0.000,0.000,0.000,0.000,0.000,0.936,0.000,0.000,13.590,11.172,3.002,2.108,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003962,81.582,0.000,4.285,14.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,87.846,0.000,2.236,9.917,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,80.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.551,0.000,0.967,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003966,90.856,0.000,1.392,7.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,9.795,33.571,9.364,10.226,16.537,2.558,6.263,0.000,0.000,0.000,0.000,11.292,0.000,0.000,0.000,0.000,0.000,0.391,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112878,5.135,0.000,24.716,1.561,8.230,7.292,0.000,0.000,0.000,0.000,0.000,0.000,8.705,37.238,7.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112880,7.152,17.762,16.912,13.157,17.006,2.948,3.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.404,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112881,12.059,19.399,11.784,4.750,9.871,2.247,2.614,0.000,0.000,0.000,0.000,7.817,5.889,0.000,11.945,0.000,0.000,11.623,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112882,1.723,2.832,22.783,0.000,7.440,3.666,2.150,0.000,0.000,0.000,0.000,1.259,0.000,36.972,21.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112883,1.367,0.000,0.000,0.000,44.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.365,0.000,7.654,1.197,0.000,0.000,15.015,0.000,0.000,0.000
gDNA-Colorectal-GC112876,0.000,2.217,0.000,0.282,1.526,62.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.883,0.528,6.008,1.215,0.756,21.613,2.173,0.000,0.000,0.000
gDNA-Colorectal-GC119345,4.735,0.000,5.247,77.420,0.000,12.596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119346,3.642,4.277,2.249,38.498,3.858,22.517,0.000,0.000,0.000,2.524,0.000,0.000,0.000,11.541,0.000,0.000,0.000,0.000,0.896,9.997,0.000,0.000,0.000
gDNA-Colorectal-GC119347,5.801,0.000,5.398,24.027,0.000,64.773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119348,0.009,2.477,2.549,50.214,0.000,6.904,1.406,0.000,0.000,0.000,0.000,0.000,9.514,10.261,5.385,6.675,0.000,0.000,1.276,3.330,0.000,0.000,0.000
gDNA-Colorectal-GC119349,6.155,6.099,5.778,32.257,10.190,5.850,6.885,0.000,0.000,9.360,0.000,0.000,0.000,0.000,0.000,17.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC112879,7.125,0.576,4.331,1.292,16.468,12.742,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.923,4.921,0.000,0.000,3.269,0.000,0.000,4.351,0.000,0.000
gDNA-Ovarian-GC119433,7.726,7.864,11.034,39.192,30.373,3.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC119434,3.777,4.895,5.976,27.240,13.214,0.000,9.741,0.000,0.000,0.000,0.742,0.811,0.000,0.000,2.817,15.201,0.000,2.408,0.000,13.177,0.000,0.000,0.000
gDNA-WBC-GC131344,0.000,0.000,0.000,0.160,0.000,0.000,1.390,0.000,0.000,0.000,0.000,3.287,78.097,0.410,1.044,0.000,5.842,5.817,0.000,3.427,0.524,0.000,0.000
gDNA-WBC-GC131345,0.000,0.000,0.388,0.809,0.061,0.000,4.509,0.000,0.000,0.000,2.673,4.955,55.563,0.121,5.646,0.000,15.460,0.000,4.149,2.236,0.000,3.430,0.000
gDNA-WBC-GC131346,0.000,0.000,0.005,0.237,0.000,0.000,4.701,0.000,0.104,0.000,0.000,4.224,57.722,0.075,6.001,2.993,12.997,0.000,0.000,0.000,0.000,10.940,0.000
gDNA-WBC-GC131347,0.000,0.000,0.000,0.024,0.000,0.000,3.773,13.379,2.980,1.382,6.619,1.452,51.521,1.030,2.603,0.000,3.883,0.710,7.546,3.096,0.000,0.000,0.000
gDNA-WBC-GC131348,0.000,0.546,0.040,0.419,0.000,0.000,2.374,0.000,2.617,0.000,2.161,5.269,64.174,0.000,2.959,1.560,0.000,2.159,3.538,0.000,0.000,12.183,0.000
gDNA-WBC-GC131349,0.000,0.042,0.160,0.713,0.000,0.405,4.755,0.000,0.000,0.000,0.606,7.980,54.752,1.767,9.338,2.668,13.831,2.984,0.000,0.000,0.000,0.000,0.000
gDNA-WBC-GC131350,0.000,0.000,0.006,0.351,0.000,0.000,1.585,0.000,0.000,0.000,3.423,2.731,66.951,0.000,0.067,0.000,6.026,9.887,2.375,0.000,0.000,0.000,6.598
gDNA-WBC-GC131351,0.000,0.000,0.155,0.589,0.000,0.000,2.308,0.000,0.000,0.000,3.887,3.199,61.615,0.000,1.798,3.540,1.808,0.000,1.243,0.000,11.661,0.000,8.195
gDNA-WBC-GC131352,0.000,0.000,0.010,0.349,0.000,0.000,3.082,1.478,11.133,0.000,4.881,3.142,48.814,0.000,8.037,5.827,2.992,6.470,0.000,0.000,3.786,0.000,0.000
gDNA-WBC-GC131353,0.000,0.000,0.025,0.243,0.000,0.000,4.128,0.000,0.070,0.000,8.814,5.656,58.044,0.000,7.111,8.371,2.116,0.367,0.000,0.000,0.000,5.055,0.000
gDNA-WBC-GC131354,0.000,0.000,0.109,0.457,0.000,0.000,6.543,2.761,2.147,0.000,4.802,5.597,47.771,0.112,7.907,7.085,8.377,6.332,0.000,0.000,0.000,0.000,0.000
gDNA-WBC-GC131355,0.000,0.000,0.043,0.143,0.000,0.000,3.902,0.000,0.458,0.536,5.851,6.825,59.053,3.142,2.819,3.492,2.130,7.135,0.000,2.138,0.000,2.332,0.000
