Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-Breast-GC1002316,1.053,1.378,0.812,0.954,0.248,1.165,0.804,0.400,0.585,3.077,1.548,2.928,0.688,1.420,0.421,0.682,0.535,0.295,0.413,0.467,0.763,1.538,0.446,0.853,6.255,4.305,9.645,1.512,0.165,0.058,0.182,0.351,2.849,1.124,2.728,0.179,0.077,0.854,1.353,0.256,0.006,0.036,0.831,36.690,0.322,0.011,0.000,2.979,0.250,3.509
gDNA-Breast-GC1003962,0.757,0.619,0.078,0.103,0.211,0.180,0.031,0.058,0.125,0.011,0.139,0.207,0.180,0.263,0.172,0.090,0.317,0.020,0.527,0.338,0.307,0.107,0.214,5.565,1.092,0.574,1.070,3.711,0.731,2.763,0.024,0.013,0.177,0.209,0.647,0.024,1.136,0.027,0.036,0.425,0.902,1.902,0.120,0.555,59.607,0.993,1.593,0.774,9.782,0.493
gDNA-Breast-GC1003963,0.113,0.112,0.296,0.176,0.024,0.072,0.134,0.069,0.041,0.089,0.016,0.091,0.106,0.024,0.213,0.196,0.442,0.352,0.207,0.093,0.041,0.191,0.096,2.498,1.163,1.030,2.576,5.963,0.206,0.752,0.217,0.035,0.181,0.384,0.040,2.079,0.550,0.106,0.600,0.861,1.769,2.212,0.173,14.053,3.513,0.200,2.297,0.105,52.361,0.883
gDNA-Breast-GC1003965,1.690,0.812,0.376,0.300,0.036,1.506,0.257,0.947,0.344,0.279,0.628,0.035,2.415,0.080,0.920,0.482,2.049,1.864,1.616,1.115,0.341,0.416,0.628,0.966,14.276,16.577,10.677,2.680,0.134,0.002,0.024,0.018,1.296,1.307,0.685,0.209,0.020,0.254,0.388,1.354,0.003,0.056,0.126,10.936,0.542,0.003,0.005,0.286,1.200,16.841
gDNA-Breast-GC1003966,0.084,0.037,0.030,0.112,0.037,0.001,0.106,0.142,0.128,0.064,0.104,0.063,0.303,0.114,0.095,0.151,0.088,0.100,0.193,0.124,0.115,0.044,0.110,14.492,0.032,9.656,4.725,4.752,0.146,0.190,0.024,0.082,0.713,0.070,0.022,0.699,0.300,0.694,1.942,0.011,0.000,19.337,0.492,13.397,0.849,3.196,0.082,6.152,15.513,0.085
gDNA-Cervical-GC112877,0.673,0.753,0.010,0.074,0.022,0.140,0.185,0.085,0.090,0.191,0.033,0.178,0.005,0.066,1.255,1.000,0.441,0.744,0.284,0.408,0.069,0.000,0.002,0.006,0.040,0.030,0.042,0.029,0.003,0.002,0.027,0.374,0.347,0.175,0.213,1.657,84.261,3.274,0.672,1.978,0.067,0.004,0.002,0.001,0.003,0.079,0.001,0.001,0.001,0.005
gDNA-Cervical-GC112878,1.838,1.504,4.704,2.153,0.953,0.559,4.356,3.551,4.174,1.423,2.772,4.142,3.128,1.222,0.746,0.085,0.901,1.699,1.463,0.222,1.437,0.053,1.107,0.254,0.973,0.211,0.164,0.303,0.138,0.065,0.367,0.002,10.484,0.576,4.203,0.753,1.026,1.719,2.953,1.505,0.010,0.007,0.565,1.141,0.212,0.181,0.005,26.968,0.085,0.939
gDNA-Cervical-GC112880,0.159,0.407,0.218,0.592,0.625,0.460,0.109,0.661,0.290,0.464,0.049,0.436,0.115,0.998,0.824,0.484,0.319,0.352,0.085,0.489,0.734,0.405,0.311,0.420,0.830,0.348,0.655,0.635,0.641,0.257,0.627,0.701,3.108,0.729,1.567,5.055,68.218,0.672,0.270,0.893,0.153,0.328,0.819,0.058,1.058,0.659,0.002,0.114,0.844,0.755
gDNA-Cervical-GC112881,0.167,0.157,0.066,0.105,0.106,0.041,0.111,0.112,0.184,0.050,0.182,0.125,0.008,0.073,0.091,0.006,0.298,0.346,0.150,0.246,0.147,0.006,0.124,0.108,0.090,0.178,0.195,0.010,0.107,0.006,0.001,0.143,0.012,0.099,0.160,11.318,0.359,73.882,0.623,0.431,0.001,0.001,5.372,0.040,0.676,0.002,0.000,2.411,0.863,0.012
gDNA-Cervical-GC112882,2.237,1.274,0.626,0.833,1.009,0.256,1.065,1.731,1.688,0.367,2.139,1.946,2.850,3.696,0.548,4.026,0.911,4.344,7.246,0.495,2.020,1.884,1.619,0.016,0.917,0.141,0.138,0.020,0.106,0.007,0.167,2.508,1.736,2.004,3.552,34.750,0.671,0.093,1.636,0.179,0.014,0.000,0.019,0.003,0.005,0.000,0.000,3.904,0.005,2.595
