Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
gDNA-Breast-GC1002316,9.184,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.627,5.863,2.766,0.000,1.743,2.878,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.775,0.000,10.457,16.564,26.726,3.871,0.000,1.482,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.021,2.041
gDNA-Breast-GC1003962,0.000,8.921,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.558,15.614,0.000,2.844,38.143,0.000,13.753,1.111,0.000,0.000,0.000,0.000,0.000,2.053,0.000,0.000,0.000
gDNA-Breast-GC1003963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.057,0.000,0.000,21.687,61.999,0.000,7.413,0.000,0.000,0.000,0.000,0.000,5.842,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,0.000,1.542,0.000,0.000,0.000,0.481,0.000,0.000,0.000,0.000,0.000,11.099,0.000,3.448,0.000,0.000,0.000,0.000,0.000,5.612,0.000,0.000,0.000,16.322,3.504,20.892,25.714,9.571,1.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.299,0.000,32.641,0.000,32.882,5.580,5.316,0.000,0.000,0.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,3.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,0.000,0.000,1.234,0.000,2.414,0.000,0.000,62.186,0.000,0.000,0.000,13.412,11.850,0.000,5.771
gDNA-Cervical-GC112878,0.000,8.490,0.484,0.000,5.343,14.146,0.000,0.000,0.000,9.808,0.000,0.000,7.505,0.000,0.000,0.000,0.000,1.966,0.000,0.000,0.116,0.000,0.000,0.000,8.501,0.000,0.000,0.000,1.882,0.000,1.153,4.427,0.000,0.000,9.094,0.000,0.000,18.645,0.000,8.439
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.000,0.000,3.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.935,0.000,0.000,0.000,0.000,0.000,0.000,3.211,0.000,0.000,3.560,0.000,0.000,0.000,6.322,0.000,4.893,0.000,2.023,19.987,0.000,0.000,0.000,32.201,7.317,0.000,14.213
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.821,0.000,0.000,0.000,7.223,1.870,0.000,0.000,13.522,6.192,0.000,23.085,2.781,28.503,0.000,0.000
gDNA-Cervical-GC112882,0.000,6.773,1.380,0.000,0.000,0.000,0.000,0.000,0.000,3.305,0.000,0.000,0.000,8.381,0.000,0.000,4.373,7.139,0.000,4.867,3.204,0.000,0.000,0.000,8.412,0.000,0.000,0.000,0.000,0.337,0.000,8.662,0.779,0.000,6.911,4.768,0.000,27.945,0.000,2.761
gDNA-Cervical-GC112883,11.620,12.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.783,0.000,0.000,1.355,6.497,0.000,0.000,0.000,0.000,0.000,0.000,1.528,5.811,0.000,0.000,0.882,0.000,0.000,0.000,0.000,0.000,2.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.844
gDNA-Colorectal-GC112876,0.000,9.476,0.562,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.564,0.000,0.000,0.000,0.000,0.168,0.000,0.000,0.000,0.000,0.000,5.060,0.000,2.190,5.351,0.000,0.000,0.000,0.187,8.980,55.728,0.000,0.000,5.340,0.000,0.000,0.184,0.209,0.000
gDNA-Colorectal-GC119345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.949,0.000,0.000,0.000,0.000,6.005,54.051,14.648,0.000,3.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119346,0.000,11.022,0.000,0.000,0.000,0.000,1.780,0.000,0.000,0.325,0.000,4.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.443,0.578,7.356,47.151,6.390,10.098,0.000,0.000,4.261,4.632,0.605,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.164,2.722,9.988,0.000,0.000,0.000,22.594,46.216,9.073,1.064,0.000,0.000,0.000,0.000,0.000,0.175,0.000
gDNA-Colorectal-GC119348,0.000,0.643,0.000,0.000,9.496,0.000,0.864,0.000,2.925,0.096,1.652,1.754,0.000,0.000,0.000,3.063,0.000,0.000,8.289,0.000,0.000,2.446,0.000,1.785,0.000,0.000,0.000,0.871,23.973,20.785,5.547,1.905,0.937,0.000,6.020,0.000,3.623,3.323,0.000,0.000
gDNA-Colorectal-GC119349,2.282,9.665,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.631,0.000,0.000,7.328,0.000,18.768,0.000,7.524,26.422,8.670,4.435,0.000,0.000,0.000,9.270,0.000,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC112879,0.000,19.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.106,0.000,1.607,0.000,0.000,0.000,2.528,0.000,0.000,0.019,0.252,0.000,0.000,0.829,0.000,5.077,0.293,0.000,1.477,0.000,12.202,0.000,0.000,20.833,0.000,0.000,3.720,0.000,22.327
gDNA-Ovarian-GC119433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.892,0.000,11.338,0.000,0.000,23.531,19.781,1.241,0.000,0.000,0.000,19.215,0.000,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC119434,0.000,2.831,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.532,0.000,0.000,0.000,4.673,0.000,0.000,0.000,0.000,0.000,3.156,0.000,0.000,6.515,0.185,20.272,1.175,0.000,18.857,14.012,0.000,0.000,0.971,0.000,22.377,0.000,0.000,0.443,0.000,0.000
gDNA-WBC-GC131344,0.000,0.000,0.000,6.393,33.831,0.000,41.278,0.000,0.000,0.000,4.222,0.000,7.427,0.000,0.000,2.699,0.000,0.000,0.000,0.000,2.734,0.000,0.000,0.000,0.000,0.000,0.079,0.000,0.444,0.000,0.096,0.795,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-WBC-GC131345,0.243,0.000,20.295,0.000,11.888,7.630,0.000,13.690,0.000,0.000,12.908,0.000,0.000,9.281,0.000,13.511,0.000,0.000,0.000,0.000,4.107,0.000,0.000,0.271,0.000,0.000,0.000,0.000,0.952,0.010,1.378,0.000,0.225,0.000,0.000,0.000,3.611,0.000,0.000,0.000
gDNA-WBC-GC131346,0.000,11.816,0.000,29.551,0.000,0.000,0.000,34.248,0.000,1.184,0.000,0.000,4.747,0.000,0.000,9.257,0.000,0.000,0.000,0.000,7.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.410,0.328,0.000,0.000,0.225,0.000,0.000,0.019,0.000,0.000,0.000
