Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
gDNA-Breast-GC1002316,5.878,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.820,12.562,2.441,0.000,0.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,4.016,1.691,11.077,22.092,20.094,6.154,0.000,0.000,1.908,0.000,0.000,0.000,5.796,0.000,0.000,0.717,4.167,0.101
gDNA-Breast-GC1003962,0.000,7.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.995,5.688,15.278,0.000,24.345,0.000,18.528,0.000,0.000,0.000,0.000,4.554,0.000,0.000,0.000,0.000,2.553
gDNA-Breast-GC1003963,0.000,1.844,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.511,0.000,14.393,15.142,47.548,0.000,10.001,0.000,0.000,0.088,0.000,0.000,5.657,0.000,0.000,0.000,3.816
gDNA-Breast-GC1003965,0.000,1.023,0.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.865,2.874,0.000,1.820,0.000,0.000,0.000,3.077,0.000,2.469,0.000,0.000,0.000,4.147,9.463,20.445,20.303,19.671,6.282,0.000,0.000,0.270,0.000,2.548,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.073,0.000,32.496,0.000,33.122,1.540,7.643,0.000,0.000,1.603,0.000,0.000,0.000,0.000,0.000,0.000,4.237
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.766,0.000,13.324,0.000,0.995,5.312,0.000,15.259,0.000,19.045,9.649,2.174,23.446
gDNA-Cervical-GC112878,3.705,6.121,0.000,16.875,0.000,0.000,1.540,0.000,0.000,5.997,0.000,0.000,3.380,0.000,1.925,0.000,0.000,0.000,0.324,0.000,0.822,0.200,0.000,0.000,8.527,2.345,0.000,0.000,7.067,0.000,2.525,0.000,6.757,0.000,8.242,7.456,0.000,16.193,0.000,0.000
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.000,1.919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.426,0.690,0.000,0.000,0.000,0.339,0.000,0.000,2.106,0.000,2.380,4.200,0.000,0.000,16.331,0.000,13.887,0.000,0.893,0.000,3.357,16.523,0.000,19.673,3.398,0.000,12.876
gDNA-Cervical-GC112881,2.762,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.924,0.000,0.000,0.000,1.223,0.000,0.000,0.000,1.857,0.000,3.423,14.204,0.000,0.000,2.219,0.000,10.219,0.000,3.082,0.000,6.776,0.000,8.980,19.306,12.406,0.000,12.620
gDNA-Cervical-GC112882,0.000,7.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.949,0.000,0.000,0.000,8.105,3.291,0.000,3.028,0.000,4.404,5.096,3.318,0.000,0.000,0.000,12.144,0.000,0.000,0.000,0.000,0.174,0.000,6.714,7.145,1.652,3.556,5.232,2.103,19.764,0.000,4.727
gDNA-Cervical-GC112883,7.318,14.663,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.474,0.000,0.000,0.000,0.000,0.000,0.757,0.000,1.117,0.000,0.000,3.821,0.000,0.000,5.290,3.535,0.000,0.000,0.000,0.000,0.000,2.495,0.000,5.002,45.826,0.000,0.000,0.000,0.000,9.702
gDNA-Colorectal-GC112876,0.000,9.313,0.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.938,0.000,0.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.248,0.000,1.842,5.219,0.000,0.000,0.000,0.000,17.830,35.243,11.406,0.000,0.000,0.000,0.000,4.789,4.595,0.000
gDNA-Colorectal-GC119345,0.000,1.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.215,0.000,0.000,0.000,0.000,16.313,36.865,16.352,0.000,0.000,0.000,0.000,0.000,6.786,0.000,0.000,2.678
gDNA-Colorectal-GC119346,1.363,11.584,0.000,0.000,0.000,2.917,0.000,0.000,0.000,0.000,0.000,2.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.290,0.000,0.000,10.013,0.000,2.668,29.776,10.731,14.378,0.000,6.188,3.270,3.701,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119347,0.000,2.382,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.461,0.809,16.548,0.000,0.000,0.000,33.321,28.342,14.128,0.000,0.000,0.000,1.985,0.000,0.000,0.025,0.000
gDNA-Colorectal-GC119348,0.000,0.000,0.000,4.057,0.000,1.475,0.000,0.000,7.458,0.000,0.723,2.314,0.000,0.000,0.000,0.915,0.988,0.000,6.991,0.000,0.000,1.667,0.000,3.611,0.000,0.000,0.000,0.489,23.416,23.408,3.122,4.367,6.069,0.000,0.000,0.000,1.746,2.530,0.000,4.653
gDNA-Colorectal-GC119349,0.000,13.456,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.170,0.000,0.000,0.000,0.000,0.596,0.000,0.000,0.000,0.000,0.611,2.420,0.000,0.000,4.353,0.000,9.609,0.000,10.131,38.246,2.597,3.779,0.210,9.820,0.000,0.000,0.000,0.000,0.000,0.000,3.001
gDNA-Ovarian-GC112879,0.000,13.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.571,0.113,0.000,0.000,0.000,0.000,0.000,0.000,2.059,0.000,3.015,0.000,0.000,0.103,3.884,14.493,0.000,0.000,0.000,0.361,10.727,6.974,0.000,23.718,0.000,0.000,12.656,0.193,1.374
gDNA-Ovarian-GC119433,6.808,0.000,0.000,0.000,0.000,0.000,0.000,3.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.202,0.000,0.000,27.418,0.000,6.258,0.000,1.948,22.335,11.541,0.857,0.000,15.362,0.000,0.000,3.246,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC119434,0.000,1.855,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.057,0.000,3.042,0.000,0.000,2.467,0.000,0.000,0.000,0.000,0.000,7.077,0.000,0.000,4.897,1.291,17.058,0.000,0.000,25.932,8.508,0.000,0.000,16.653,0.000,1.749,0.000,2.695,0.275,1.280,1.163
gDNA-WBC-GC131344,0.000,0.000,0.000,26.422,18.869,7.807,0.000,0.000,22.785,5.305,1.335,0.000,6.743,0.000,0.000,3.163,0.000,0.000,0.000,0.000,2.503,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.871,0.000,0.000,0.392,0.000,1.804,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-WBC-GC131345,0.000,0.000,6.092,0.000,0.000,11.934,0.000,37.401,0.000,9.279,0.000,0.000,0.000,10.129,0.000,12.763,0.000,0.000,0.000,0.000,0.000,2.152,0.000,1.052,1.255,0.000,0.000,0.000,0.000,0.144,0.000,0.000,2.606,0.000,0.000,0.000,0.000,0.000,0.000,5.193
gDNA-WBC-GC131346,3.286,4.471,0.000,8.506,13.144,0.000,0.000,36.456,0.000,6.045,0.000,0.000,3.919,0.000,4.526,10.062,0.000,0.000,0.000,0.000,6.919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.489,0.000,0.000,0.000,1.177,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-WBC-GC131347,6.867,0.000,0.000,5.219,0.000,25.052,0.000,0.000,22.600,0.000,5.603,0.000,0.000,0.000,8.791,9.151,1.104,0.000,7.109,1.757,3.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.666,0.000
gDNA-WBC-GC131348,0.000,5.332,25.749,7.744,11.657,0.000,0.000,16.600,0.000,6.994,0.000,0.000,0.000,9.522,7.289,0.000,0.000,0.000,0.000,0.000,0.786,0.000,0.000,0.000,1.050,0.000,0.000,0.000,0.765,0.000,0.000,0.000,0.094,0.000,0.000,0.000,3.239,0.956,2.151,0.071
gDNA-WBC-GC131349,0.000,5.085,12.188,24.507,0.210,16.560,0.000,0.000,0.000,3.316,3.306,3.042,0.000,7.820,0.000,7.923,0.000,0.000,3.748,0.000,0.000,0.000,1.725,0.000,0.000,0.000,0.000,0.000,4.108,0.000,0.000,0.000,0.000,2.608,0.000,0.000,0.000,3.855,0.000,0.000
gDNA-WBC-GC131350,0.191,0.000,0.000,31.755,0.000,17.300,0.000,17.568,0.000,1.651,4.554,0.000,9.306,0.000,1.159,0.000,2.170,4.060,2.783,0.000,0.000,1.838,0.000,0.000,0.000,0.000,0.185,0.079,1.740,0.000,0.000,2.483,0.000,1.179,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-WBC-GC131351,0.168,0.000,0.000,27.613,15.071,0.000,0.000,0.000,19.217,0.000,9.248,0.000,5.649,0.000,0.000,0.000,0.000,3.516,2.900,0.000,0.000,0.000,2.042,0.000,0.000,0.000,0.000,0.000,0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.202,0.000,13.057,0.000
gDNA-WBC-GC131352,0.000,4.503,0.000,5.659,37.302,0.000,2.519,0.931,0.000,6.730,0.000,0.000,7.378,0.000,21.406,0.000,0.000,0.000,0.000,5.770,1.343,0.000,0.000,0.000,0.000,2.258,0.568,0.000,0.000,0.000,0.000,0.000,1.777,0.000,0.000,0.000,0.000,1.853,0.000,0.000
gDNA-WBC-GC131353,0.000,1.633,8.333,4.011,26.740,11.599,0.000,0.000,0.000,13.079,0.000,0.000,0.000,3.145,1.917,14.931,0.000,0.000,1.740,0.591,0.438,0.000,3.514,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,7.854,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-WBC-GC131354,4.447,0.000,16.676,19.164,0.000,6.361,0.000,0.000,0.000,0.000,6.016,0.000,11.676,0.000,13.711,5.878,0.000,0.000,1.288,0.000,0.717,0.000,7.670,0.677,0.000,0.000,0.000,0.000,2.792,0.000,0.000,0.000,0.000,2.173,0.000,0.000,0.755,0.000,0.000,0.000
gDNA-WBC-GC131355,0.000,9.628,0.000,0.000,17.150,0.000,0.000,35.746,0.000,7.980,0.000,0.000,0.000,6.043,3.768,0.000,0.000,0.000,0.000,7.967,4.632,0.000,0.000,0.000,1.370,0.000,0.000,0.000,0.000,1.854,0.000,0.000,0.380,3.482,0.000,0.000,0.000,0.000,0.000,0.000
