Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
gDNA-Breast-GC1002316,48.720,0.222,0.000,0.000,2.772,0.000,2.267,0.633,0.107,7.392,17.457,0.749,0.000,19.679
gDNA-Breast-GC1003962,78.394,0.000,1.313,20.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,89.806,0.000,0.000,10.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,70.367,0.000,0.000,0.058,0.000,0.000,0.000,3.376,3.170,1.608,7.005,1.521,0.058,12.836
gDNA-Breast-GC1003966,89.489,0.000,0.000,10.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,0.000,61.631,26.512,2.329,6.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,0.000
gDNA-Cervical-GC112878,7.289,0.000,13.545,1.274,12.601,3.515,0.000,0.000,0.000,6.828,4.981,0.000,16.299,33.669
gDNA-Cervical-GC112880,9.836,20.963,37.996,5.632,14.374,1.676,2.718,0.000,0.000,0.000,0.000,4.142,2.662,0.000
gDNA-Cervical-GC112881,9.292,0.731,66.747,5.706,8.821,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.703
gDNA-Cervical-GC112882,3.462,2.313,22.655,0.000,6.337,4.636,0.000,4.089,3.954,0.812,0.000,4.180,0.000,47.563
gDNA-Cervical-GC112883,0.000,0.000,0.000,0.000,41.021,0.098,0.000,0.000,0.000,21.002,0.000,0.000,0.000,37.878
gDNA-Colorectal-GC112876,4.964,0.000,0.188,0.000,0.813,55.597,2.711,0.000,0.000,9.226,5.598,0.000,0.000,20.901
gDNA-Colorectal-GC119345,24.581,0.000,0.000,60.723,0.000,14.696,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119346,10.751,2.845,0.000,35.767,12.439,12.866,1.203,0.000,0.000,12.961,4.327,0.000,0.000,6.840
gDNA-Colorectal-GC119347,18.134,0.000,0.000,24.432,0.000,57.433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119348,3.428,5.387,6.280,37.624,3.134,9.545,2.056,3.550,6.580,0.474,4.078,1.685,13.966,2.212
gDNA-Colorectal-GC119349,36.377,0.770,0.000,28.270,5.520,2.638,8.392,2.819,0.000,15.214,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC112879,5.444,0.000,2.516,0.000,34.775,7.415,0.000,0.000,0.000,12.488,4.919,0.000,0.000,32.443
gDNA-Ovarian-GC119433,53.035,0.000,0.000,41.003,5.482,0.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC119434,28.198,2.636,0.000,27.710,19.976,0.000,8.160,5.314,0.000,1.759,6.246,0.000,0.000,0.000
gDNA-WBC-GC131344,0.000,0.000,0.000,0.325,0.000,0.205,0.914,0.000,0.000,0.000,3.741,6.547,78.680,9.587
gDNA-WBC-GC131345,0.417,0.020,3.929,0.924,0.000,0.453,2.374,11.044,0.000,0.000,12.235,10.485,51.975,6.145
gDNA-WBC-GC131346,0.000,0.000,0.059,1.384,0.000,0.044,4.855,11.238,0.257,11.927,1.064,6.468,62.704,0.000
gDNA-WBC-GC131347,0.000,0.000,0.000,0.040,0.000,0.551,0.794,17.633,8.887,1.817,8.229,0.000,54.221,7.827
gDNA-WBC-GC131348,0.015,1.387,1.580,0.592,0.000,0.000,3.092,3.171,0.000,1.863,7.264,9.453,59.408,12.176
gDNA-WBC-GC131349,0.000,0.000,3.195,0.505,0.000,0.000,0.785,1.700,2.662,0.714,4.577,10.518,56.956,18.387
gDNA-WBC-GC131350,0.000,0.000,0.000,0.818,0.000,0.580,0.000,7.892,0.000,0.000,10.050,5.718,66.045,8.897
gDNA-WBC-GC131351,0.000,0.000,0.428,0.165,0.000,0.000,0.034,1.595,0.000,0.000,5.321,2.608,63.801,26.048
gDNA-WBC-GC131352,0.896,0.000,0.000,0.266,2.319,0.599,2.151,26.496,1.320,3.128,3.717,4.365,45.507,9.237
gDNA-WBC-GC131353,0.000,0.000,0.000,1.638,0.000,0.592,0.589,7.788,0.000,0.409,10.013,4.509,56.485,17.978
gDNA-WBC-GC131354,0.042,0.000,0.133,0.249,0.000,0.000,5.245,19.911,0.000,0.000,0.568,7.120,44.076,22.657
gDNA-WBC-GC131355,0.680,0.000,0.000,0.172,0.000,0.000,0.000,0.000,8.487,3.878,5.097,5.310,55.294,21.083
