Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
gDNA-Breast-GC1002316,0.170,0.263,0.000,0.000,0.000,0.002,0.013,0.000,0.001,3.429,2.919,0.602,0.008,0.003,0.324,0.723,1.354,1.633,0.077,0.428,0.012,0.011,0.034,0.024,3.594,35.767,20.960,3.155,0.027,1.765,0.000,0.000,0.001,0.004,22.165,0.037,0.072,0.377,0.019,0.026
gDNA-Breast-GC1003962,0.142,0.145,0.000,0.000,0.001,0.000,0.008,0.000,0.003,0.002,0.006,0.002,0.077,0.067,1.096,0.971,0.125,2.545,0.536,0.713,0.004,0.011,0.166,0.246,1.195,0.903,2.137,55.971,0.000,6.659,0.000,0.000,0.000,0.000,0.012,4.466,21.047,0.735,0.005,0.005
gDNA-Breast-GC1003963,0.200,0.063,0.000,0.001,0.000,0.000,0.002,0.001,0.001,0.025,0.108,0.027,0.017,0.012,0.808,0.195,0.193,0.089,0.013,0.128,0.001,0.003,0.001,1.269,0.015,13.205,4.981,57.238,0.001,0.084,0.000,0.000,0.001,0.000,0.000,0.106,21.153,0.048,0.003,0.006
gDNA-Breast-GC1003965,0.253,0.332,0.009,0.021,0.008,0.023,0.027,0.006,0.021,0.067,0.037,0.420,0.014,0.008,0.074,0.020,0.073,0.038,0.045,0.005,0.002,0.000,0.001,6.315,1.329,70.480,12.244,2.176,2.048,0.207,0.611,0.105,1.700,0.014,0.203,0.041,0.758,0.200,0.023,0.044
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.311,0.002,27.708,1.928,29.741,1.324,1.447,0.176,0.013,0.165,0.000,0.000,3.212,15.923,0.011,0.002,0.038
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.780,1.600,6.480,2.895,0.007,0.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86.853,0.000,0.001,0.000,0.000
gDNA-Cervical-GC112878,0.001,0.004,2.281,0.583,2.953,1.314,0.016,1.464,0.295,0.008,0.026,0.055,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.024,0.004,0.000,0.001,0.000,0.951,2.061,87.945,0.000,0.001,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112880,0.066,0.429,0.014,0.157,0.052,0.203,0.031,0.057,0.026,0.059,0.170,0.136,0.398,0.043,1.762,1.237,1.065,2.731,0.291,0.622,0.973,0.733,0.886,0.202,0.311,0.013,0.002,0.106,0.041,2.467,0.297,0.519,0.031,0.747,0.911,81.472,0.169,0.018,0.050,0.500
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.007,0.055,0.029,0.004,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.887,0.000,0.000
gDNA-Cervical-GC112882,0.011,0.032,0.007,0.001,0.005,0.000,0.002,0.003,0.003,0.011,0.009,0.024,0.164,0.651,0.004,0.008,0.007,0.007,0.057,0.019,0.067,0.053,0.031,0.000,0.005,0.000,0.002,0.000,0.000,0.000,0.000,0.618,0.367,0.001,0.587,0.000,0.000,0.000,0.000,97.243
