Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
gDNA-Breast-GC1002316,0.000,0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.222,16.881,43.869,4.365,0.000,0.947,0.000,0.000,0.000,0.000,3.425,0.130,0.000,0.000,0.000,0.000,18.782
gDNA-Breast-GC1003962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.400,0.000,0.000,0.000,2.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.003,0.000,1.265,6.462,13.459,10.685,45.722,0.000,9.579,0.000,0.000,0.000,0.000,0.437,0.000,7.395,0.587,0.000,0.000,0.000
gDNA-Breast-GC1003963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.795,0.000,19.129,9.773,51.021,5.890,3.433,0.724,0.000,0.000,0.000,0.000,0.786,3.429,0.000,0.000,1.019,0.000
gDNA-Breast-GC1003965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.805,2.221,62.298,15.262,4.791,0.081,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.468
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.219,0.000,16.988,9.411,22.578,4.736,3.396,0.058,0.000,0.268,0.000,0.000,2.232,2.316,0.796,0.000,0.000,0.000
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,5.498,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.149,0.000,1.881,0.127,0.000,0.000,5.276,0.000,2.848,0.000,2.356,0.000,0.000,9.929,0.000,5.396,22.686,16.011,26.841,0.000
gDNA-Cervical-GC112878,0.000,0.000,0.401,3.759,4.941,0.000,1.027,0.000,0.000,0.000,0.000,2.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.403,5.499,0.000,1.600,0.000,3.855,0.733,0.103,4.801,7.382,0.000,1.057,11.830,4.534,8.281,0.000,0.000,37.426
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.000,0.000,3.050,2.578,0.000,0.000,0.000,0.000,0.000,0.000,2.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.969,0.000,0.000,2.868,0.000,0.000,5.449,0.000,6.952,1.061,3.230,0.422,0.000,11.591,0.000,11.512,19.943,0.000,24.313,0.000
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,5.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.934,17.933,0.000,0.000,0.746,2.313,2.660,0.000,0.000,0.000,1.156,4.764,8.667,9.266,14.694,0.000,17.926,0.000
gDNA-Cervical-GC112882,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.715,0.000,0.000,0.000,0.865,0.000,4.124,3.949,0.000,0.000,0.000,5.686,0.000,0.000,0.000,0.000,0.796,0.000,3.994,0.000,0.000,5.063,7.869,0.000,26.737,0.000,2.397,33.802
gDNA-Cervical-GC112883,0.000,8.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.000,2.513,0.000,0.000,0.081,0.000,2.106,0.862,0.000,54.395,0.000,0.000,0.203,0.000,0.000,31.752
gDNA-Colorectal-GC112876,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,1.587,3.772,68.874,0.000,0.000,4.467,0.000,0.000,0.000,3.947,0.000,17.110
gDNA-Colorectal-GC119345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.262,0.000,0.000,0.000,5.186,18.802,49.713,12.022,1.234,0.000,0.000,0.000,0.000,4.757,0.946,0.000,6.075,0.000
gDNA-Colorectal-GC119346,1.615,5.201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.116,0.000,0.000,0.000,2.776,42.467,10.605,17.242,0.685,1.096,0.000,4.051,1.409,0.000,0.000,0.000,0.191,9.109
gDNA-Colorectal-GC119347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.069,0.000,0.000,0.000,3.349,0.000,16.314,54.016,14.734,0.000,0.000,0.000,0.165,0.506,2.156,0.000,6.688,0.000
gDNA-Colorectal-GC119348,0.000,0.000,5.610,2.020,4.006,0.000,0.000,0.000,0.000,0.000,0.498,0.000,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.271,0.000,0.000,0.173,0.000,0.000,0.000,1.241,31.992,21.824,4.064,1.580,0.976,0.000,0.000,0.000,0.785,1.135,8.569,0.000,14.051
gDNA-Colorectal-GC119349,14.405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.108,0.000,0.000,2.369,3.458,1.085,0.000,2.082,23.744,13.571,1.236,0.913,19.466,0.000,2.633,1.191,2.548,0.000,0.000,4.190,0.000
gDNA-Ovarian-GC112879,0.000,10.979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.846,0.000,4.058,0.755,0.000,12.360,5.683,0.000,13.246,0.000,0.000,3.206,0.000,0.000,37.865
gDNA-Ovarian-GC119433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.392,2.315,0.000,0.000,0.166,17.269,15.639,0.000,0.000,9.699,45.503,0.000,1.086,3.929,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC119434,0.000,0.000,0.000,0.000,2.506,0.000,0.000,0.000,0.000,0.000,5.015,7.110,3.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.256,0.000,0.000,1.066,2.282,1.721,0.000,4.516,16.872,12.296,0.000,0.000,8.751,0.000,8.344,1.378,5.590,0.123,0.000,2.815,0.000
gDNA-WBC-GC131344,0.000,0.000,22.922,18.903,5.630,29.604,0.000,2.588,0.000,0.000,0.317,0.000,4.785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.767,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.275,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.155
gDNA-WBC-GC131345,0.000,0.000,10.824,12.157,0.000,7.673,4.499,20.870,5.417,1.322,1.907,0.000,0.000,4.298,0.000,0.053,0.000,0.000,0.000,1.868,5.726,0.000,0.000,0.291,0.055,0.000,0.000,0.000,1.167,0.121,0.000,0.000,0.415,0.132,0.000,0.381,0.000,0.000,0.000,0.000,20.822
gDNA-WBC-GC131346,0.000,0.000,8.582,23.472,25.235,2.012,1.197,3.240,0.000,0.912,0.000,0.000,3.709,0.000,0.000,0.000,0.000,0.000,7.074,0.000,5.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.191,0.127,0.147,0.000,0.000,0.255,0.000,0.000,0.000,0.000,0.000,0.000,18.650
gDNA-WBC-GC131347,0.000,0.000,10.634,12.239,0.000,21.427,0.000,4.387,4.251,0.000,3.024,0.000,0.000,1.001,0.000,0.140,0.457,15.282,0.000,7.516,2.944,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.621
gDNA-WBC-GC131348,0.000,0.000,27.816,5.443,1.205,10.923,0.000,23.655,0.000,0.000,2.504,0.000,5.992,0.000,0.000,0.000,0.000,0.000,0.914,0.000,2.348,0.507,0.000,0.350,0.000,0.000,0.000,0.000,0.218,0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.911,16.864
gDNA-WBC-GC131349,0.000,0.000,33.653,13.601,0.000,8.989,0.000,0.000,0.000,0.000,2.361,0.000,13.782,0.000,0.000,0.000,0.000,0.000,7.023,0.000,2.225,2.023,0.000,0.000,0.000,0.000,0.000,0.000,1.009,0.000,0.196,0.000,0.024,0.000,0.000,0.781,0.000,0.022,0.197,0.000,14.113
gDNA-WBC-GC131350,0.000,0.000,10.926,23.854,5.064,5.995,0.000,19.904,4.619,4.733,0.000,0.000,1.703,2.664,0.000,0.000,0.000,0.000,0.000,0.000,2.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,17.935
gDNA-WBC-GC131351,0.000,0.000,24.002,21.030,2.672,6.000,0.000,7.233,3.382,7.146,0.162,0.000,5.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.879,0.000,0.000,0.000,0.041,0.000,0.000,0.525,0.145,0.000,0.000,0.000,0.000,0.000,0.057,0.018,0.000,0.000,0.000,19.657
gDNA-WBC-GC131352,0.000,0.000,5.195,39.835,0.000,3.225,0.000,2.268,0.000,3.569,0.000,0.000,2.385,0.000,6.836,0.000,0.000,0.000,11.654,0.000,4.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.289
gDNA-WBC-GC131353,0.000,0.000,19.814,12.503,5.951,16.279,1.054,0.054,0.000,7.128,0.000,0.000,0.000,3.488,0.000,0.815,0.000,0.000,0.000,1.757,0.000,0.044,15.458,0.000,0.043,0.000,0.000,0.000,0.233,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,15.132
gDNA-WBC-GC131354,0.000,0.000,24.846,22.161,0.000,0.000,0.000,0.000,0.000,5.641,0.000,0.000,4.480,1.104,0.092,9.190,0.000,0.000,0.640,0.000,1.039,8.400,0.000,0.000,0.000,0.000,0.000,0.007,0.045,0.276,0.000,0.000,0.000,0.000,0.000,0.208,0.000,0.000,0.000,0.000,21.868
gDNA-WBC-GC131355,0.000,0.000,35.334,12.900,0.000,4.122,0.000,1.800,5.166,4.374,0.000,0.000,0.000,6.073,4.894,0.000,0.000,0.000,0.000,5.348,2.579,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.141,0.000,17.022
