Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
gDNA-Breast-GC1002316,1.694,6.514,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.865,2.408,8.127,21.943,26.113,10.793,0.000,0.000,0.000,0.000,0.000,0.000,7.389,1.856,0.000,0.000,0.000,3.271
gDNA-Breast-GC1003962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,0.000,0.000,0.000,0.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.058,0.000,7.428,7.436,15.439,8.310,31.972,1.335,11.501,0.000,0.000,0.000,0.000,1.106,0.364,5.577,2.464,0.000,4.355
gDNA-Breast-GC1003963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.580,0.000,20.204,16.008,33.972,11.536,4.121,0.411,0.000,0.000,0.000,0.000,4.192,1.463,0.000,0.000,2.512
gDNA-Breast-GC1003965,1.247,6.869,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.291,6.426,36.651,20.977,12.559,2.248,0.000,2.645,0.000,0.000,0.000,0.000,3.055,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.541,0.000,26.214,10.164,26.442,3.733,6.142,0.986,0.000,0.000,0.000,0.000,3.763,2.904,2.111,0.000,0.000
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,3.870,1.005,0.000,0.000,0.000,0.000,0.000,0.000,0.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.388,0.000,6.103,0.473,0.000,0.000,3.974,0.000,14.902,0.000,1.549,0.000,0.000,11.631,0.000,7.246,18.940,18.616,9.515
gDNA-Cervical-GC112878,3.216,7.516,0.000,9.456,4.267,0.000,0.000,0.000,0.000,0.000,0.000,6.145,1.874,0.000,0.000,0.000,1.316,0.000,0.000,0.000,0.037,0.000,0.000,0.000,6.108,1.220,3.747,0.000,6.905,0.000,2.141,5.474,8.501,2.284,3.689,11.381,2.340,12.382,0.000,0.000
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.000,1.383,0.000,2.333,0.000,0.000,0.000,0.000,0.000,0.000,0.986,0.000,0.000,0.000,0.000,0.000,0.000,0.506,3.006,0.000,0.905,5.703,0.000,0.000,7.504,0.874,15.514,1.355,0.316,0.684,1.025,14.240,0.183,10.889,17.316,0.000,15.278
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,1.035,0.000,3.382,0.000,0.000,0.000,1.119,0.000,3.295,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.480,0.000,7.643,15.181,0.000,0.000,3.705,0.587,7.539,0.000,0.000,0.000,2.451,4.071,6.320,15.041,15.338,0.000,11.816
gDNA-Cervical-GC112882,0.000,0.419,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.247,0.000,0.000,0.000,4.471,0.000,0.000,5.056,4.277,5.294,7.356,6.149,0.000,0.000,0.000,8.419,0.730,0.000,0.000,0.000,2.436,0.000,4.823,0.000,0.000,10.051,6.868,1.216,23.237,0.000,7.952
gDNA-Cervical-GC112883,6.535,12.635,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.690,0.000,0.000,1.581,0.000,0.000,4.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.826,0.850,6.580,0.000,0.000,0.715,0.000,2.214,4.825,0.000,48.664,0.000,0.000,2.625,0.000,1.996
gDNA-Colorectal-GC112876,3.404,2.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.832,0.000,2.204,0.000,0.674,0.439,0.000,4.230,0.000,0.000,1.711,0.000,0.409,1.884,0.000,0.000,0.000,0.000,0.000,0.000,2.820,13.549,48.902,0.000,1.756,7.858,0.000,0.000,0.000,7.098,0.000
gDNA-Colorectal-GC119345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.739,0.000,0.000,0.000,5.740,21.739,37.960,17.460,2.534,1.003,0.000,0.000,0.000,3.715,3.300,0.078,3.732
gDNA-Colorectal-GC119346,7.819,4.096,0.000,0.000,0.000,0.000,0.506,0.000,0.000,0.000,0.000,3.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.882,0.000,5.131,27.923,18.314,17.375,1.099,2.308,0.000,6.457,2.145,0.000,0.000,0.000,2.585
gDNA-Colorectal-GC119347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.616,0.000,0.000,0.000,5.301,0.000,26.179,32.696,23.672,0.000,0.000,0.990,0.000,1.214,1.632,1.079,5.621
gDNA-Colorectal-GC119348,2.082,0.000,3.688,2.509,6.302,0.000,0.000,0.000,0.000,0.000,1.802,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.748,0.000,3.652,0.000,0.000,0.000,0.000,0.000,0.000,2.714,24.795,25.053,4.774,3.722,2.575,1.615,0.000,0.467,2.776,1.123,4.601,0.000
gDNA-Colorectal-GC119349,7.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.894,0.000,0.000,1.423,0.000,0.000,0.000,0.000,0.000,0.012,0.000,7.377,0.500,0.000,3.574,3.755,1.776,0.000,4.863,20.927,11.819,4.443,1.230,13.221,0.000,3.488,1.406,4.529,0.985,0.000,6.718
gDNA-Ovarian-GC112879,6.286,9.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.883,0.497,0.000,0.000,0.634,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.778,0.000,16.029,0.000,6.992,0.691,2.355,10.094,5.349,0.000,20.728,4.223,0.000,3.543,7.542,0.000
gDNA-Ovarian-GC119433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.732,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.412,5.986,0.000,0.000,1.741,24.448,17.328,0.419,0.000,21.750,5.666,0.000,0.000,8.767,3.751,0.000,0.000
gDNA-Ovarian-GC119434,0.000,0.000,0.000,0.000,3.088,0.000,0.000,0.000,0.000,0.000,6.414,2.740,4.049,0.000,0.000,4.590,0.000,0.000,0.000,0.000,11.281,0.000,0.000,1.170,3.201,1.547,0.000,6.587,17.299,11.097,0.000,0.000,7.788,0.000,7.306,1.578,5.271,1.930,0.000,3.062
