Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
gDNA-Breast-GC1002316,63.885,0.000,0.000,0.000,4.157,0.000,0.000,3.983,0.000,20.060,7.915,0.000,0.000
gDNA-Breast-GC1003962,75.131,0.000,8.764,16.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,85.275,0.000,4.097,10.628,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,81.675,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.859,17.466,0.000,0.000,0.000
gDNA-Breast-GC1003966,86.635,0.000,4.179,9.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,9.255,43.943,25.169,4.670,10.541,1.211,0.000,0.000,0.000,0.000,0.000,0.000,5.210
gDNA-Cervical-GC112878,6.308,0.000,27.735,2.336,17.214,7.335,0.000,2.159,0.000,16.794,6.365,1.410,12.344
gDNA-Cervical-GC112880,7.575,24.175,28.338,9.416,16.935,3.549,4.036,0.000,0.000,0.000,0.000,2.766,3.210
gDNA-Cervical-GC112881,15.109,16.448,34.026,5.063,12.945,0.000,0.000,0.000,0.000,0.000,0.000,9.667,6.740
gDNA-Cervical-GC112882,4.011,3.784,29.565,0.000,11.643,5.906,6.196,21.104,10.085,2.161,1.137,4.408,0.000
gDNA-Cervical-GC112883,2.237,0.000,0.000,0.000,50.737,1.901,1.011,9.779,0.000,32.719,0.000,1.616,0.000
gDNA-Colorectal-GC112876,0.000,3.412,0.000,0.108,8.080,68.768,1.610,3.022,2.706,6.929,5.364,0.000,0.000
gDNA-Colorectal-GC119345,6.462,0.000,8.799,69.715,0.000,15.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119346,5.908,4.181,2.386,40.588,6.800,19.539,0.000,0.000,0.000,17.314,3.283,0.000,0.000
gDNA-Colorectal-GC119347,7.421,0.000,5.017,22.093,0.000,65.468,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119348,2.439,7.554,4.108,45.403,1.495,9.171,3.297,0.000,3.852,4.453,3.004,1.650,13.574
gDNA-Colorectal-GC119349,9.702,7.608,5.879,34.099,16.961,3.557,9.251,0.000,0.000,9.977,0.000,2.965,0.000
gDNA-Ovarian-GC112879,10.292,0.000,4.838,1.652,31.077,13.548,0.000,4.865,0.000,29.553,4.055,0.121,0.000
gDNA-Ovarian-GC119433,13.112,0.905,11.412,42.095,32.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC119434,9.071,5.491,8.778,27.244,21.686,0.000,12.551,0.000,0.000,0.000,9.139,4.272,1.767
gDNA-WBC-GC131344,0.000,0.514,0.000,0.262,0.827,0.000,3.245,0.000,6.294,0.000,2.968,4.866,81.024
gDNA-WBC-GC131345,0.914,0.379,0.992,0.730,1.507,0.398,6.800,6.838,6.415,3.492,6.930,5.290,59.317
gDNA-WBC-GC131346,0.000,0.260,0.000,0.252,0.749,1.009,7.259,0.000,12.844,7.731,3.546,4.268,62.083
gDNA-WBC-GC131347,0.000,0.000,0.070,0.090,0.416,0.019,4.904,15.781,11.108,4.027,4.930,0.494,58.162
gDNA-WBC-GC131348,0.451,2.393,0.000,0.606,0.105,0.304,4.206,0.000,10.930,0.558,5.336,6.430,68.680
gDNA-WBC-GC131349,0.000,0.972,0.995,0.413,0.000,0.632,6.360,0.000,12.643,5.382,4.028,10.604,57.970
gDNA-WBC-GC131350,0.000,0.511,0.171,0.537,0.000,0.000,3.743,4.169,5.446,5.223,5.489,4.244,70.466
gDNA-WBC-GC131351,0.623,0.000,0.594,0.524,0.088,0.930,4.926,3.974,1.876,5.070,8.087,6.623,66.685
gDNA-WBC-GC131352,0.027,0.740,0.000,0.193,0.424,0.178,6.498,13.266,11.909,4.626,5.654,3.545,52.939
gDNA-WBC-GC131353,0.000,0.200,0.192,0.530,0.000,0.000,8.193,6.982,9.305,0.000,12.504,3.673,58.421
gDNA-WBC-GC131354,0.299,0.000,0.630,0.381,0.400,1.299,9.685,14.457,1.791,4.618,7.987,8.461,49.992
gDNA-WBC-GC131355,0.000,0.865,0.000,0.311,0.611,0.000,4.444,6.735,7.996,4.447,7.673,6.582,60.337
