Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
gDNA-Breast-GC1002316,58.679,0.000,0.000,0.000,0.717,0.000,0.000,0.000,0.000,3.615,4.412,0.000,0.000,32.577
gDNA-Breast-GC1003962,74.939,0.000,8.982,16.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,85.218,0.000,4.099,10.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,77.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.282,0.000,0.000,0.000,21.107
gDNA-Breast-GC1003966,86.416,0.000,4.286,9.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,9.263,44.288,24.862,4.710,10.493,1.218,0.000,0.000,0.000,0.000,0.000,0.000,5.165,0.000
gDNA-Cervical-GC112878,6.034,0.000,23.025,2.796,9.541,5.587,0.000,0.000,0.000,0.000,2.482,0.000,10.584,39.951
gDNA-Cervical-GC112880,6.658,22.427,28.464,9.318,15.571,2.304,2.505,0.000,0.000,0.000,0.000,0.000,1.894,10.858
gDNA-Cervical-GC112881,15.194,16.100,34.416,5.093,13.131,0.000,0.000,0.000,0.000,0.000,0.000,9.388,6.677,0.000
gDNA-Cervical-GC112882,2.486,1.868,26.497,0.842,6.829,3.085,2.181,2.950,5.899,0.000,0.000,2.747,0.000,44.614
gDNA-Cervical-GC112883,1.429,0.000,0.000,0.000,40.231,2.261,0.000,0.000,0.000,8.870,0.000,0.000,0.000,47.208
gDNA-Colorectal-GC112876,0.000,1.912,0.000,0.750,3.487,67.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.818
gDNA-Colorectal-GC119345,6.522,0.000,8.819,69.401,0.000,15.257,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119346,4.832,1.658,1.551,40.738,4.642,19.271,0.000,0.000,0.000,7.962,0.000,0.000,0.000,19.346
gDNA-Colorectal-GC119347,7.313,0.000,5.033,21.792,0.000,65.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119348,1.431,4.561,2.614,47.402,0.000,6.774,1.651,0.000,0.000,0.000,0.170,0.000,12.019,23.378
gDNA-Colorectal-GC119349,9.786,7.360,5.937,33.743,16.618,3.741,8.641,0.000,0.000,11.508,0.000,2.664,0.000,0.000
gDNA-Ovarian-GC112879,8.688,0.000,2.826,1.809,18.473,12.573,0.000,0.000,0.000,4.521,0.000,0.000,0.000,51.110
gDNA-Ovarian-GC119433,13.085,0.896,11.390,41.962,32.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Ovarian-GC119434,7.483,3.831,8.139,27.016,19.486,0.000,10.824,0.000,0.000,0.000,6.771,2.779,1.131,12.539
gDNA-WBC-GC131344,0.000,0.000,0.000,0.195,0.000,0.000,1.997,0.000,0.000,0.000,0.650,3.922,79.166,14.070
gDNA-WBC-GC131345,0.377,0.000,0.344,0.778,0.000,0.000,5.275,0.000,3.125,0.000,4.346,4.150,58.800,22.804
gDNA-WBC-GC131346,0.000,0.000,0.000,0.306,0.000,0.262,6.170,0.000,5.511,0.000,1.911,3.917,61.008,20.913
gDNA-WBC-GC131347,0.000,0.000,0.000,0.049,0.000,0.000,3.003,14.621,8.014,0.000,3.609,0.000,53.749,16.955
gDNA-WBC-GC131348,0.076,0.807,0.000,0.693,0.000,0.000,3.001,0.000,1.263,0.000,2.767,5.234,67.858,18.301
gDNA-WBC-GC131349,0.000,0.000,0.433,0.488,0.000,0.000,4.634,0.000,3.708,0.000,1.825,10.075,57.453,21.383
gDNA-WBC-GC131350,0.000,0.000,0.000,0.502,0.000,0.000,2.049,0.000,0.000,0.000,4.782,4.385,69.144,19.137
gDNA-WBC-GC131351,0.000,0.000,0.039,0.550,0.000,0.000,1.945,0.000,0.000,0.000,7.329,4.267,64.121,21.748
gDNA-WBC-GC131352,0.000,0.000,0.000,0.193,0.000,0.000,4.048,7.128,11.989,0.000,4.238,2.875,49.855,19.674
gDNA-WBC-GC131353,0.000,0.000,0.000,0.422,0.000,0.000,6.173,0.000,5.945,0.000,9.025,3.554,57.102,17.778
gDNA-WBC-GC131354,0.000,0.000,0.057,0.481,0.000,0.000,7.707,8.257,0.150,0.000,6.220,6.017,48.348,22.762
gDNA-WBC-GC131355,0.000,0.000,0.000,0.279,0.000,0.000,3.133,0.924,6.275,0.000,6.067,5.749,58.982,18.591
