Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
gDNA-Breast-GC1002316,67.622,0.157,1.270,0.000,7.906,0.495,1.356,0.000,0.000,12.472,8.616,0.106,0.000
gDNA-Breast-GC1003962,68.149,1.906,9.530,14.421,0.000,0.000,0.000,5.994,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,78.685,2.212,5.292,13.811,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,78.538,0.000,1.265,0.000,0.000,7.625,1.160,0.000,0.000,5.651,3.571,2.189,0.000
gDNA-Breast-GC1003966,80.146,0.000,6.156,11.115,0.000,2.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,3.461,33.134,25.711,13.871,0.000,0.000,0.000,23.824,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112878,9.789,0.000,25.615,0.656,17.494,17.553,0.848,0.000,0.000,0.000,6.564,4.513,16.967
gDNA-Cervical-GC112880,7.203,18.814,28.901,17.892,11.862,0.000,0.468,14.860,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112881,10.414,13.244,42.139,2.206,0.000,0.000,0.000,31.977,0.000,0.000,0.000,0.000,0.019
gDNA-Cervical-GC112882,5.946,2.822,31.037,0.442,17.134,9.487,7.026,2.414,11.945,0.000,3.958,7.789,0.000
gDNA-Cervical-GC112883,8.555,0.000,2.660,0.000,54.941,1.374,0.000,8.570,0.000,22.653,0.000,1.248,0.000
gDNA-Colorectal-GC112876,0.000,5.238,0.000,1.202,11.549,63.455,2.870,1.841,3.050,4.094,4.315,1.392,0.994
gDNA-Colorectal-GC119345,0.524,12.370,4.426,68.967,0.000,9.730,0.000,3.983,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119346,8.550,0.000,3.337,37.686,11.953,25.667,0.000,0.000,0.000,4.675,4.505,1.503,2.125
gDNA-Colorectal-GC119347,6.181,0.000,3.544,30.041,0.334,59.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119348,2.221,6.162,5.286,46.137,3.170,10.073,4.273,0.000,3.942,2.815,2.007,1.225,12.691
gDNA-Colorectal-GC119349,12.368,11.017,8.607,29.912,12.131,4.636,7.791,0.000,2.545,10.523,0.000,0.470,0.000
gDNA-Ovarian-GC112879,17.023,1.040,8.952,1.849,30.571,19.706,0.167,0.000,0.000,9.752,7.619,3.319,0.000
gDNA-Ovarian-GC119433,11.525,0.000,13.117,31.833,24.045,13.162,0.000,0.000,0.000,0.000,0.000,0.000,6.317
gDNA-Ovarian-GC119434,12.468,4.756,9.659,26.449,16.518,0.000,11.279,0.000,0.602,1.837,9.292,5.183,1.957
gDNA-WBC-GC131344,0.000,0.000,0.037,0.903,2.921,3.492,4.282,0.000,0.000,0.000,1.736,7.666,78.963
gDNA-WBC-GC131345,1.472,0.000,1.263,1.796,5.645,4.135,8.947,0.317,2.820,0.000,7.485,9.364,56.757
gDNA-WBC-GC131346,0.426,1.087,0.000,1.102,2.709,3.676,8.596,0.000,3.966,3.548,4.911,9.809,60.170
gDNA-WBC-GC131347,0.000,1.056,1.048,0.000,0.000,1.107,4.968,16.726,12.806,3.527,5.002,0.684,53.076
gDNA-WBC-GC131348,0.000,4.685,0.000,1.351,0.000,0.000,4.725,3.280,9.009,0.000,4.375,6.073,66.502
gDNA-WBC-GC131349,0.000,1.151,3.561,1.163,0.294,2.738,7.474,0.000,7.188,1.210,6.216,12.104,56.901
gDNA-WBC-GC131350,0.136,1.502,0.901,1.577,0.244,1.884,6.100,0.000,1.168,4.165,5.163,8.717,68.443
gDNA-WBC-GC131351,1.109,1.499,1.396,2.256,0.082,1.508,5.217,0.000,0.000,4.036,10.797,8.322,63.778
gDNA-WBC-GC131352,0.000,4.180,0.000,0.198,0.877,1.248,7.670,8.547,13.592,2.703,7.016,4.815,49.154
gDNA-WBC-GC131353,0.314,0.000,0.846,1.728,2.375,3.238,11.380,2.363,2.141,0.000,9.864,8.914,56.838
gDNA-WBC-GC131354,1.978,0.000,1.531,0.000,2.844,3.496,12.437,4.004,0.000,6.588,8.802,10.481,47.838
gDNA-WBC-GC131355,2.768,0.081,0.284,1.551,2.021,5.171,7.523,0.000,1.850,0.256,8.635,10.090,59.771
