Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
gDNA-Breast-GC1002316,0.349,0.054,0.021,0.005,0.004,0.008,0.011,0.041,0.038,1.117,8.731,0.619,0.069,0.057,2.057,0.804,2.059,0.940,0.590,0.094,0.063,0.013,0.179,0.139,5.829,7.947,48.877,4.681,0.001,0.165,0.000,0.000,0.000,0.000,8.277,5.824,0.242,0.081,0.006,0.007,0.000
gDNA-Breast-GC1003962,0.009,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.016,0.003,0.000,0.002,1.772,0.468,4.335,1.122,0.066,0.934,0.000,0.000,0.002,1.930,0.806,0.056,6.483,51.124,0.000,1.541,0.000,0.000,0.000,0.000,0.020,20.724,2.158,0.000,0.341,1.690,4.383
gDNA-Breast-GC1003963,0.417,0.197,0.001,0.004,0.001,0.011,0.020,0.009,0.021,0.478,0.359,0.136,0.004,0.005,2.471,0.961,2.349,1.592,0.507,0.095,0.001,0.002,0.004,7.490,0.063,2.948,4.984,56.837,0.074,0.087,0.000,0.000,0.003,0.000,0.004,10.308,1.194,0.000,0.100,0.139,6.125
gDNA-Breast-GC1003965,0.232,0.208,0.000,0.019,0.013,0.008,0.013,0.007,0.001,0.092,0.058,0.025,0.002,0.001,0.035,0.020,0.024,0.045,0.083,0.019,0.010,0.028,0.017,1.381,1.469,66.987,19.158,3.384,0.146,0.000,0.726,0.249,0.053,0.006,0.322,3.784,1.293,0.063,0.003,0.004,0.014
gDNA-Breast-GC1003966,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.345,0.021,21.081,5.586,30.711,0.015,0.060,0.243,0.017,0.005,0.010,0.025,15.458,0.030,0.000,0.002,0.002,4.384
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.003,0.002,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.985,0.001,0.000
gDNA-Cervical-GC112878,0.175,0.104,8.798,1.543,0.623,1.620,1.824,0.151,1.737,0.393,0.288,0.121,0.550,0.301,0.001,0.011,0.003,0.002,0.012,0.010,0.005,0.036,0.020,0.545,0.070,0.669,1.656,0.298,0.312,0.000,9.983,0.461,4.564,0.115,1.730,0.000,0.016,61.255,0.000,0.000,0.001
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.001,0.000,0.578,0.000,0.000,0.000,0.095,0.155,0.539,0.001,4.457,93.927,0.110,0.123
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
gDNA-Cervical-GC112882,0.539,0.318,0.053,0.073,0.172,0.165,0.007,0.155,0.044,0.450,0.814,0.017,0.884,1.530,0.863,2.285,1.472,6.415,3.811,2.355,1.508,0.342,2.434,0.013,1.034,0.057,0.004,0.002,0.000,0.000,0.171,4.932,0.113,1.085,1.160,0.000,0.000,64.371,0.346,0.006,0.000
