Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
gDNA-Breast-GC1002316,0.289,2.917,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.874,6.578,0.000,0.000,0.000,0.000,0.000,0.000,1.513,0.000,0.000,0.000,0.000,0.000,1.337,9.556,14.489,47.801,6.147,0.000,0.000,0.000,0.000,0.000,0.000,2.913,0.270,0.000,0.159,0.000,3.155
gDNA-Breast-GC1003962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.215,5.410,11.595,14.313,43.824,0.000,6.413,0.000,0.000,0.000,0.000,1.727,0.000,3.280,0.000,0.000,8.221
gDNA-Breast-GC1003963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.230,0.000,19.749,10.312,43.992,6.016,2.061,0.982,0.000,2.768,0.000,0.000,0.669,1.611,0.000,0.000,1.607
gDNA-Breast-GC1003965,0.007,3.842,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.347,0.000,0.000,0.000,0.000,0.000,0.373,0.000,0.000,0.000,0.364,0.000,0.000,4.360,2.813,66.335,13.861,5.414,0.704,0.000,1.025,0.000,0.000,0.000,0.000,0.553,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.268,0.334,20.142,8.973,25.580,1.191,3.164,0.537,0.000,0.749,0.000,0.000,0.000,1.754,0.000,0.000,2.305
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,6.348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.323,7.930,2.432,1.118,0.000,0.000,6.398,0.000,7.893,0.000,5.309,0.960,4.737,7.775,0.000,2.677,7.740,10.395,17.482
gDNA-Cervical-GC112878,2.206,3.273,4.012,6.611,0.507,0.000,0.984,0.000,1.484,1.962,0.000,4.680,0.000,0.000,0.000,0.000,0.000,0.000,3.791,0.000,0.000,0.000,0.000,0.000,9.696,0.000,3.417,0.000,5.779,0.000,2.704,5.921,6.663,0.485,2.300,22.343,1.093,8.946,0.000,1.141
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.000,0.000,4.556,0.406,0.000,0.000,0.000,0.000,0.000,0.000,4.675,0.000,0.000,0.000,0.000,0.000,0.000,6.477,0.000,0.000,0.000,8.452,0.000,0.000,5.496,0.000,10.859,1.819,2.959,0.460,4.277,10.990,2.361,4.801,11.276,0.000,20.134
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,0.000,8.678,0.987,0.640,0.000,0.000,0.000,0.000,9.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.297,0.471,5.742,13.494,0.000,0.000,3.577,1.804,5.313,0.000,3.358,0.704,9.014,0.971,3.281,5.020,2.919,0.130,16.900
gDNA-Cervical-GC112882,0.000,0.948,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.616,1.530,0.000,0.235,2.961,0.000,0.000,0.259,7.466,7.771,2.587,6.661,0.000,0.000,0.000,11.951,0.000,1.132,0.000,0.000,0.702,0.000,6.219,0.000,0.000,6.930,2.636,0.000,29.806,0.000,8.590
