Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
gDNA-Breast-GC1002316,0.075,0.407,0.003,0.001,0.000,0.000,0.010,0.000,0.001,7.441,7.739,2.863,0.008,0.060,0.067,0.077,0.181,1.577,0.004,0.038,0.000,0.032,0.763,0.085,2.833,31.896,21.526,2.931,0.000,3.087,0.000,0.000,1.044,0.000,9.761,0.169,5.279,0.023,0.018,0.000,0.000
gDNA-Breast-GC1003962,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.614,0.000,6.301,0.000,0.000,0.000,0.003,17.724,0.000,1.096,0.000,0.002,0.118,22.141
gDNA-Breast-GC1003963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.198,0.000,0.028,2.331,8.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.168,0.000,0.000,0.000,0.000,3.767
gDNA-Breast-GC1003965,0.002,0.012,1.567,0.052,0.221,0.023,0.274,0.155,0.006,0.856,1.161,4.334,0.043,3.544,1.357,1.262,1.870,2.109,1.617,0.762,0.046,0.002,0.007,20.818,1.131,22.705,19.166,3.968,0.227,0.000,1.023,0.033,6.210,0.056,0.148,0.000,0.000,0.000,0.001,1.172,2.060
gDNA-Breast-GC1003966,0.057,0.007,0.007,0.012,0.011,0.014,0.008,0.018,0.545,0.461,0.029,0.060,0.105,0.155,0.408,0.162,0.072,0.543,0.087,0.006,0.001,0.027,0.000,11.489,0.189,25.910,0.207,44.552,0.449,1.363,0.000,0.000,1.864,0.060,0.001,0.103,0.032,0.000,0.000,0.000,10.985
gDNA-Cervical-GC112877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
gDNA-Cervical-GC112878,0.079,0.208,0.826,0.119,0.075,0.062,1.526,0.088,0.371,4.292,1.768,1.113,1.427,0.986,0.034,0.010,0.052,0.017,0.049,0.009,0.000,0.001,0.005,0.000,0.002,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.050,52.866,0.000,0.002,0.000,33.192,0.000,0.000,0.735
gDNA-Cervical-GC112880,0.000,0.000,0.000,0.020,0.012,0.041,0.055,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.435,0.090,0.000,0.000,0.011,0.077,1.580,0.029,0.001,0.000,2.787,0.044,0.000,0.000,0.070,0.000,94.270,0.462
gDNA-Cervical-GC112881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,99.996,0.000,0.000,0.001,0.000
gDNA-Cervical-GC112882,0.005,0.043,0.163,0.174,0.092,0.094,0.195,0.192,0.015,1.388,0.110,0.086,1.293,5.411,0.307,1.280,1.592,0.183,0.228,6.103,0.897,0.198,1.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,2.845,0.001,0.001,18.875,0.000,0.000,56.849,0.000,0.000,0.000
