Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-Breast-GC1002316,47.006,0.501,0.000,0.000,0.239,0.000,0.868,0.000,0.000,2.816,17.626,0.363,0.000,30.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003962,75.253,0.000,3.031,18.177,3.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003963,90.820,0.000,0.000,9.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003965,64.452,0.000,0.000,0.180,0.000,0.000,0.000,8.723,0.015,0.000,4.207,1.480,0.000,20.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Breast-GC1003966,89.816,0.000,0.000,10.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,0.000,70.109,9.551,3.449,11.617,3.321,0.000,0.000,0.000,0.000,0.000,0.000,1.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112878,10.084,0.000,21.889,1.390,0.000,0.000,0.000,3.691,0.000,5.548,7.102,0.000,18.210,32.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112880,4.811,33.413,33.002,5.351,16.939,6.484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112881,3.794,11.865,67.817,5.377,8.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.786,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112882,0.000,4.692,22.057,0.000,0.000,2.086,0.000,4.028,1.596,0.000,0.000,0.921,0.000,7.704,0.000,56.916,0.000,0.000,0.000,0.000,0.000,0.000,0.000
