Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
gDNA-Breast-GC1002316,65.646,4.687,0.197,0.000,5.808,0.145,2.089,0.485,0.000,11.873,8.640,0.430,0.000
gDNA-Breast-GC1003962,69.351,0.979,9.846,17.015,1.242,0.000,0.723,0.000,0.000,0.000,0.000,0.000,0.844
gDNA-Breast-GC1003963,77.537,0.728,5.540,15.791,0.000,0.000,0.000,0.000,0.000,0.000,0.404,0.000,0.000
gDNA-Breast-GC1003965,78.166,0.000,1.420,0.000,0.000,2.742,4.284,0.022,0.000,9.888,1.188,2.290,0.000
gDNA-Breast-GC1003966,81.184,0.000,6.548,12.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Cervical-GC112877,15.447,24.477,20.379,21.012,12.299,0.000,0.000,0.253,0.000,0.000,1.825,0.407,3.902
gDNA-Cervical-GC112878,8.077,0.000,26.431,3.878,15.955,9.023,0.078,3.404,1.295,10.591,5.185,2.277,13.807
gDNA-Cervical-GC112880,13.086,16.290,25.068,22.378,17.662,0.387,2.007,0.000,0.000,0.000,0.037,0.502,2.583
gDNA-Cervical-GC112881,21.050,12.106,35.385,11.477,8.945,0.000,0.000,0.000,0.000,0.000,2.820,3.385,4.831
gDNA-Cervical-GC112882,6.126,9.572,26.384,0.536,12.499,6.676,5.358,12.916,7.330,3.184,3.125,6.295,0.000
gDNA-Cervical-GC112883,9.606,0.343,2.021,0.000,50.017,4.085,0.002,5.539,0.000,22.865,1.825,3.698,0.000
gDNA-Colorectal-GC112876,0.320,6.799,0.000,1.180,7.231,61.960,1.914,3.816,3.216,9.322,4.063,0.179,0.000
gDNA-Colorectal-GC119345,8.372,2.234,6.910,63.850,0.000,18.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119346,7.677,4.434,2.700,39.230,7.608,20.153,0.000,0.000,0.000,14.265,3.932,0.000,0.000
gDNA-Colorectal-GC119347,5.214,0.000,5.381,33.473,0.000,55.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gDNA-Colorectal-GC119348,3.044,6.644,4.632,46.506,1.432,9.190,4.436,0.000,5.917,2.241,2.549,0.662,12.747
gDNA-Colorectal-GC119349,17.079,7.377,8.182,29.760,11.606,6.064,8.393,0.000,0.000,6.873,2.926,1.739,0.000
gDNA-Ovarian-GC112879,15.795,6.547,7.554,2.107,23.588,15.676,0.300,0.523,0.000,20.524,5.311,2.074,0.000
gDNA-Ovarian-GC119433,18.916,2.814,12.924,38.398,23.575,0.163,0.000,0.000,0.000,0.000,0.000,0.000,3.211
gDNA-Ovarian-GC119434,13.620,4.025,9.383,25.894,13.509,0.000,11.822,0.000,5.412,1.204,9.616,3.667,1.848
gDNA-WBC-GC131344,0.000,1.695,0.008,1.628,1.437,0.000,4.189,3.208,2.309,0.000,1.667,5.957,77.901
gDNA-WBC-GC131345,0.000,1.561,0.730,3.148,2.217,0.000,7.132,10.401,3.748,1.069,6.965,6.571,56.457
gDNA-WBC-GC131346,0.000,1.207,1.017,1.124,0.000,0.000,7.247,0.000,12.911,7.665,2.966,5.579,60.283
gDNA-WBC-GC131347,0.000,1.947,0.109,0.513,0.000,0.000,3.041,20.774,10.366,3.867,7.086,0.158,52.139
gDNA-WBC-GC131348,0.341,2.820,0.422,2.142,2.250,0.727,5.575,5.541,3.306,0.000,4.348,7.188,65.340
gDNA-WBC-GC131349,0.000,2.477,2.329,1.931,0.459,0.008,6.588,0.000,10.117,4.267,6.687,9.272,55.865
gDNA-WBC-GC131350,0.000,2.916,1.570,0.802,0.000,0.000,3.706,4.117,3.196,4.248,5.974,7.184,66.288
gDNA-WBC-GC131351,0.178,1.530,0.912,1.906,1.671,0.618,5.748,0.000,4.202,1.647,9.480,7.215,64.893
gDNA-WBC-GC131352,0.189,2.869,0.000,0.977,1.757,1.703,7.907,11.080,10.378,1.258,7.385,4.880,49.618
gDNA-WBC-GC131353,0.146,0.000,0.785,2.496,2.314,0.000,8.091,3.961,9.885,2.144,10.366,4.860,54.951
gDNA-WBC-GC131354,1.146,0.677,2.160,0.638,1.152,0.000,9.901,13.156,3.493,5.417,6.817,7.043,48.400
gDNA-WBC-GC131355,0.000,2.187,0.000,3.538,0.000,0.000,5.009,0.000,9.072,5.319,8.442,7.159,59.274
